"Set","V","E","Iso","MaxD","ClustC","Diam","Dist","MaxCliq","Max.Clust","BP1","BPob1","BP2","BPob2","BP3","BPob3","CC1","CCob1","CC2","CCob2","CC3","CCob3","MF1","Mfob1","MF2","MFob2","MF3","MFob3","KEGG1","KEGGob1","KEGG2","KEGGob2","KEGG3","KEGGob3"
"HALLMARK_PEROXISOME","104","142","32","27","0.219959266802444","8","3.18688803746275","6","69","27.461","67","24.297","40","24.192","50","26.78","257","25.575","194","21.211","44","23.906","33","23.906","33","11.015","12","27.134","250","10.061","320","9.114","465"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","105","463","6","39","0.271970397779834","6","2.40197897340754","7","99","105.571","377","32.102","1462","31.164","981","32.46","7843","15.748","10773","15.521","650","106.482","373","66.18","84","32.667","998","33.228","524","30.423","1486","29.43","2095"
"HALLMARK_PROTEIN_SECRETION","96","442","15","34","0.516637240255331","5","2.32037037037037","13","81","75.723","1776","56.713","827","54.865","934","67.963","2307","60.171","563","53.635","647","53.439","404","44.318","461","42.595","421","59.573","516","30.663","1413","27.941","523"
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","49","46","23","9","0.468292682926829","5","1.99315068493151","5","17","32.898","164","27.79","135","19.446","89","28.081","142","19.491","905","19.339","374","29.216","133","16.552","28","14.418","1184","21.443","207","19.033","241","17.416","76"
"HALLMARK_SPERMATOGENESIS","135","185","65","29","0.332423580786026","8","2.94997806055287","7","68","14.944","1252","10.881","648","10.244","727","11.814","810","9.367","338","8.471","235","12.778","3704","8.193","150","7.881","473","9.722","428","8.561","102","8.387","257"
"HALLMARK_TGF_BETA_SIGNALING","54","174","7","24","0.394657258064516","4","2.14708603145236","8","47","42.652","352","34.961","628","34.958","135","31.445","70","24.584","536","24.072","115","36.895","121","34.556","331","33.552","124","36.326","523","25.44","624","25.026","483"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","200","390","56","45","0.242563887725178","6","2.90747795798411","8","136","31.948","1153","28.418","2297","28.368","3403","18.641","145","16.969","774","15.825","1610","23.409","1547","23.401","1415","21.684","926","32.845","879","32.353","772","31.79","542"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","113","401","26","34","0.426240652617267","6","2.54477412456562","9","87","31.834","1266","31.534","1938","28.206","1400","24.479","181","23.523","169","22.536","714","22.384","7055","20.561","140","19.685","1355","23.655","804","22.618","1418","18.027","724"
"HALLMARK_UV_RESPONSE_DN","144","198","38","25","0.144873699851412","8","3.37337473316515","4","102","21.24","1525","19.537","502","18.983","1437","31.386","4999","17.993","272","17.032","469","21.841","528","19.872","303","19.324","225","24.283","878","23.233","1793","23.113","641"
"HALLMARK_UV_RESPONSE_UP","158","287","55","40","0.312979189485214","8","2.83866448750876","9","93","8.771","234","8.094","218","7.924","801","13.386","1116","11.704","6835","10.325","3065","14.451","4979","7.731","604","7.31","202","10.499","564","9.238","261","8.819","272"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","42","94","6","16","0.329428989751098","4","2.24733096085409","5","34","26.152","229","23.936","1415","23.052","1603","17.138","432","15.449","74","15.362","131","23.012","285","20.289","92","19.074","607","26.747","257","23.374","202","19.697","454"
"HALLMARK_XENOBIOTIC_METABOLISM","200","300","57","69","0.227326545110111","7","3.06949650491338","10","141","47.245","211","44.93","173","44.464","181","53.678","510","23.992","1635","21.431","949","59.328","351","57.571","643","56.727","665","39.389","320","39.221","346","38.885","287"
