ID gn
C1961099 52
C3714636 52
C0002736 53
C0005587 53
C0023418 53
C0023434 53
C0038587 53
C0004153 54
C0149925 54
C0153381 54
C0162872 54
C0278883 55
C0338831 55
C0345050 55
C0751956 55
C0030246 57
C0033860 57
C0242380 57
C1961102 58
C4025414 58
C0001787 59
C0009324 59
C0014544 59
C0029456 59
C0029459 59
C0086237 59
C0751111 59
C0751406 59
C0007114 60
C0007786 60
C0019207 60
C0019208 60
C0024141 60
C0086404 60
C0266470 60
C0917798 60
C0009363 61
C0274861 61
C0274862 61
C0311375 61
C0751851 61
C0751852 61
C1968949 61
C0010054 63
C1956346 63
C0020305 65
C0034069 66
C0038220 67
C0162820 67
C0270823 67
C0272945 67
C0311335 67
C0393734 67
C0751522 67
C0751523 67
C0751524 67
C0017636 68
C0085762 68
C0259783 68
C0555198 68
C1510586 68
C0015695 70
C0476089 70
C0546837 70
C2711227 70
C0010278 71
C0011616 71
C0013720 72
C0334588 73
C0236804 75
C0236807 75
C0085786 77
C0004096 78
C0349204 81
C0002395 83
C0011265 83
C0494463 83
C0546126 83
C0750900 83
C0750901 83
C0276496 84
C0007194 86
C0022660 86
C0027051 86
C1112213 86
C1565662 86
C2609414 86
C0023890 88
C0029408 88
C0035126 88
C0086743 88
C0239946 88
C0279626 88
C0037773 91
C0030297 94
C0017638 95
C0346647 95
C0035334 96
C1319315 96
C0018801 98
C0018802 98
C0023212 98
C0235527 98
C1959583 98
C0020255 99
C0022333 99
C0149958 99
C0234533 99
C0234535 99
C0270824 99
C0270846 99
C0422853 99
C0422855 99
C0494475 99
C0751110 99
C0751123 99
C3495874 99
C4317109 99
C4505436 99
C0010606 100
C4505456 102
C1621958 103
C0009171 105
C0345967 106
C0026998 107
C0002152 108
C0011853 108
C0038433 108
C1879321 108
C0000822 109
C0030567 109
C0431350 109
C0205641 114
C0205642 114
C0205643 114
C0205644 114
C0205645 114
C0013146 115
C0029231 115
C0038580 115
C0740858 118
C0007137 122
C0025958 122
C0152427 122
C0600427 122
C0919267 123
C0005684 124
C0007134 124
C1266042 124
C1266043 124
C1266044 124
C1306837 124
C4302111 124
C0007131 125
C3495559 129
C3714758 129
C0087031 133
C1140680 136
C0020796 137
C0025363 137
C0917816 137
C1257925 138
C0345904 140
C0023467 141
C0011860 144
C0032460 144
C0279702 144
C1136382 144
C0023520 146
C0007102 149
C0008370 149
C0014175 154
C0269102 154
C0086543 157
C0205696 164
C0205697 164
C0028754 171
C0151744 171
C0029434 173
C0003873 174
C0019193 195
C0860207 195
C1262760 195
C3658290 195
C4277682 195
C4279912 195
C0007959 200
C0158995 205
C0152013 209
C0025202 237
C0242379 237
C2239176 240
C0009402 244
C0003886 257
C0011570 258
C1269683 258
C0041696 271
C0001973 286
C1708349 288
C0011581 292
C0024623 295
C0543888 449
C0678222 464
C0005586 501
C0376358 600
C1527249 671
C0023893 770
C0006142 1002
C0036341 1006
