ID gn
C0007370 15
C0013386 15
C0015923 15
C0019158 15
C0019196 15
C0020619 15
C0024232 15
C0025237 15
C0027092 15
C0027654 15
C0027720 15
C0035078 15
C0035412 15
C0035828 15
C0036391 15
C0038015 15
C0038870 15
C0042656 15
C0043459 15
C0078917 15
C0154017 15
C0154091 15
C0175709 15
C0205852 15
C0234247 15
C0234249 15
C0265215 15
C0265221 15
C0266539 15
C0271623 15
C0282525 15
C0339535 15
C0343640 15
C0349788 15
C0410203 15
C0423711 15
C0423712 15
C0431363 15
C0496930 15
C0740345 15
C0750940 15
C0751088 15
C0751365 15
C0752282 15
C0917796 15
C0948896 15
C1565489 15
C1834558 15
C1838951 15
C1850597 15
C1850598 15
C1850599 15
C1850600 15
C2700553 15
C2931891 15
C3489396 15
C3501843 15
C3501844 15
C3541456 15
C3661489 15
C0004763 16
C0011875 16
C0012236 16
C0019829 16
C0023891 16
C0025286 16
C0025945 16
C0027404 16
C0029172 16
C0030044 16
C0032580 16
C0039685 16
C0042109 16
C0079745 16
C0079758 16
C0079765 16
C0085159 16
C0206726 16
C0220704 16
C0235974 16
C0265534 16
C0265535 16
C0334634 16
C0410207 16
C0431362 16
C0432272 16
C0745103 16
C0751362 16
C0751617 16
C0751885 16
C0853193 16
C1257877 16
C1258085 16
C1833340 16
C1839071 16
C1860819 16
C1956130 16
C1956131 16
C1956132 16
C2713442 16
C2713443 16
C2931150 16
C3645536 16
C4021133 16
C0002622 17
C0003123 17
C0003257 17
C0007570 17
C0020473 17
C0027947 17
C0031511 17
C0033941 17
C0036349 17
C0041948 17
C0080178 17
C0153943 17
C0154060 17
C0205834 17
C0221356 17
C0233750 17
C0233796 17
C0236795 17
C0241910 17
C0262497 17
C0265699 17
C0265700 17
C0496905 17
C0520459 17
C0677886 17
C0750906 17
C0750907 17
C0751776 17
C0751777 17
C0751778 17
C0751780 17
C0751781 17
C0751782 17
C2973725 17
C0006870 18
C0007103 18
C0013366 18
C0018923 18
C0023466 18
C0023470 18
C0038358 18
C0206686 18
C0346191 18
C0392557 18
C0406537 18
C0699885 18
C0751267 18
C0751268 18
C0751779 18
C0752347 18
C1112705 18
C1257963 18
C1257964 18
C1257965 18
C1800706 18
C1839839 18
C0011052 19
C0011574 19
C0023794 19
C0028326 19
C0037769 19
C0079541 19
C0235833 19
C0242383 19
C0431399 19
C0546264 19
C0699790 19
C0751068 19
C1260899 19
C1571983 19
C1571984 19
C1846647 19
C2931850 19
C4082305 19
C0007112 20
C0014527 20
C0020456 20
C0024301 20
C0024530 20
C0242488 20
C0273115 20
C0339527 20
C0342482 20
C0349639 20
C0684249 20
C0751884 20
C2350344 20
C2931456 20
C2931822 20
C3203102 20
C3711387 20
C0013364 21
C0024302 21
C0024304 21
C0024306 21
C0033937 21
C0041671 21
C0079740 21
C0079741 21
C0079747 21
C0079757 21
C0149871 21
C0154040 21
C0154045 21
C0268237 21
C0344456 21
C0376407 21
C0438413 21
C0524620 21
C0699791 21
C0887833 21
C1263846 21
C1292769 21
C1321905 21
C1843687 21
C1861028 21
C3165106 21
C3714542 21
C0019189 22
C0020443 22
C0023976 22
C0079770 22
C0079773 22
C0149519 22
C0162557 22
C0162671 22
C0520463 22
C0524524 22
C0524611 22
C0751883 22
C0795907 22
C0004943 23
C0014556 23
C0014558 23
C0015625 23
C0026760 23
C0266487 23
C0393672 23
C0393682 23
C0752166 23
C0949658 23
C1136249 23
C1335177 23
C0009319 24
C0010068 24
C0019202 24
C0036690 24
C0149721 24
C0178417 24
C0243026 24
C0345905 24
C0751177 24
C1527352 24
C1719672 24
C3805278 24
C0005398 25
C0205768 25
C0280783 25
C0280785 25
C0338070 25
C0391976 25
C0547065 25
C0746787 25
C0750935 25
C0750936 25
C1704230 25
C0010308 26
C0020459 26
C0023264 26
C0149504 26
C0154659 26
C0162809 26
C0206698 26
C0334580 26
C0334581 26
C0334582 26
C0749420 26
C1142166 26
C2713368 26
C0036920 27
C0242423 27
C0334579 27
C0334583 27
C0752097 27
C0752098 27
C0752100 27
C0752101 27
C0752104 27
C0752105 27
C1112155 27
C1838979 27
C1868675 27
