bp.1,31,55,29
bp.2,13,96,30
bp.3,19,102,28
bp.4,13,96,13
bp.5,5,50,8
bp.6,3,55,1
bp.7,6,62,3
bp.8,78,37,10
bp.9,77,26,10
bp.10,11,87,5
cc.1,19,70,29
cc.2,188,78,89
cc.3,565,46,142
cc.4,7,89,8
cc.5,173,115,56
cc.6,3,67,10
cc.7,2,29,0
cc.8,4,25,2
cc.9,4,47,8
cc.10,33,112,15
mf.1,15,55,29
mf.2,9,82,16
mf.3,3,48,6
mf.4,24,113,18
mf.5,1,30,7
mf.6,2,55,1
mf.7,10,66,9
mf.8,7,88,7
mf.9,3,57,0
mf.10,3,53,4
