gene,GO.term,type
COL7A1,GO:0000139,C
COPA,GO:0000139,C
COPB1,GO:0000139,C
COPB2,GO:0000139,C
COPE,GO:0000139,C
COPG1,GO:0000139,C
COPG2,GO:0000139,C
COPZ1,GO:0000139,C
COPZ2,GO:0000139,C
CORO7,GO:0000139,C
CREB3,GO:0000139,C
CREB3L3,GO:0000139,C
CREB3L4,GO:0000139,C
CSGALNACT1,GO:0000139,C
CSGALNACT2,GO:0000139,C
CSNK1D,GO:0000139,C
CSPG5,GO:0000139,C
CTSC,GO:0000139,C
CTSZ,GO:0000139,C
CUL3,GO:0000139,C
CUX1,GO:0000139,C
CUX2,GO:0000139,C
CYP2E1,GO:0000139,C
CYTH1,GO:0000139,C
CYTH2,GO:0000139,C
CYTH3,GO:0000139,C
CYTH4,GO:0000139,C
DBNL,GO:0000139,C
DENND5A,GO:0000139,C
DHCR24,GO:0000139,C
DNM1L,GO:0000139,C
DNM2,GO:0000139,C
DOPEY2,GO:0000139,C
DSE,GO:0000139,C
DSEL,GO:0000139,C
EBAG9,GO:0000139,C
ECE2,GO:0000139,C
EEF1AKMT4-ECE2,GO:0000139,C
EGFR,GO:0000139,C
EMP2,GO:0000139,C
ENTPD4,GO:0000139,C
ENTPD6,GO:0000139,C
ERC1,GO:0000139,C
ERGIC1,GO:0000139,C
EXT1,GO:0000139,C
EXT2,GO:0000139,C
F5,GO:0000139,C
F8,GO:0000139,C
FAM20B,GO:0000139,C
FAM57B,GO:0000139,C
FIG4,GO:0000139,C
FKRP,GO:0000139,C
FNDC3A,GO:0000139,C
FOLR1,GO:0000139,C
FTCD,GO:0000139,C
FURIN,GO:0000139,C
FUT3,GO:0000139,C
FUT8,GO:0000139,C
FZD5,GO:0000139,C
GABARAP,GO:0000139,C
GABARAPL2,GO:0000139,C
GAD2,GO:0000139,C
GAL3ST1,GO:0000139,C
GALNT10,GO:0000139,C
GALNT11,GO:0000139,C
GALNT12,GO:0000139,C
GALNT13,GO:0000139,C
GALNT14,GO:0000139,C
GALNT15,GO:0000139,C
GALNT16,GO:0000139,C
GALNT18,GO:0000139,C
GALNT1,GO:0000139,C
GALNT2,GO:0000139,C
GALNT3,GO:0000139,C
GALNT4,GO:0000139,C
GALNT5,GO:0000139,C
GALNT6,GO:0000139,C
GALNT7,GO:0000139,C
GALNT8,GO:0000139,C
GALNT9,GO:0000139,C
GALNTL6,GO:0000139,C
GBA2,GO:0000139,C
GBF1,GO:0000139,C
GBGT1,GO:0000139,C
GBP1,GO:0000139,C
GBP2,GO:0000139,C
GBP3,GO:0000139,C
GCC1,GO:0000139,C
GCNT1,GO:0000139,C
GCNT2,GO:0000139,C
GCNT3,GO:0000139,C
GCNT4,GO:0000139,C
GIMAP1,GO:0000139,C
GJA1,GO:0000139,C
GLCE,GO:0000139,C
GLG1,GO:0000139,C
GLIPR2,GO:0000139,C
GNAI3,GO:0000139,C
GNPNAT1,GO:0000139,C
GNPTAB,GO:0000139,C
GNPTG,GO:0000139,C
GOLGA1,GO:0000139,C
GOLGA2,GO:0000139,C
GOLGA3,GO:0000139,C
