gene,GO.term,type
ATP11A,GO:0000287,F
ATP11B,GO:0000287,F
ATP11C,GO:0000287,F
ATP4A,GO:0000287,F
ATP8A1,GO:0000287,F
ATP8A2,GO:0000287,F
ATP8B1,GO:0000287,F
ATP8B2,GO:0000287,F
ATP8B3,GO:0000287,F
ATP8B4,GO:0000287,F
ATP9A,GO:0000287,F
ATP9B,GO:0000287,F
BRSK1,GO:0000287,F
BRSK2,GO:0000287,F
CASR,GO:0000287,F
CDC42BPA,GO:0000287,F
CDC42BPB,GO:0000287,F
CDC42BPG,GO:0000287,F
CDK2,GO:0000287,F
CERK,GO:0000287,F
CIB2,GO:0000287,F
CIB3,GO:0000287,F
CIB4,GO:0000287,F
CLYBL,GO:0000287,F
COMT,GO:0000287,F
CSNK1G2,GO:0000287,F
DCTPP1,GO:0000287,F
DIS3L2,GO:0000287,F
DUT,GO:0000287,F
DXO,GO:0000287,F
DYRK2,GO:0000287,F
DYRK3,GO:0000287,F
ENDOV,GO:0000287,F
ENO1,GO:0000287,F
ENO2,GO:0000287,F
ENO3,GO:0000287,F
ENOPH1,GO:0000287,F
ENOSF1,GO:0000287,F
EPHX2,GO:0000287,F
ERN1,GO:0000287,F
ERN2,GO:0000287,F
EYA2,GO:0000287,F
FAN1,GO:0000287,F
FARSB,GO:0000287,F
FEN1,GO:0000287,F
FIGNL1,GO:0000287,F
FOXK2,GO:0000287,F
GCLC,GO:0000287,F
GEM,GO:0000287,F
GEN1,GO:0000287,F
GLUL,GO:0000287,F
GNAI1,GO:0000287,F
GSS,GO:0000287,F
HACL1,GO:0000287,F
HMGCL,GO:0000287,F
HPGDS,GO:0000287,F
HPRT1,GO:0000287,F
ICK,GO:0000287,F
IDH1,GO:0000287,F
IDH2,GO:0000287,F
IDH3A,GO:0000287,F
IDH3B,GO:0000287,F
IDH3G,GO:0000287,F
ILVBL,GO:0000287,F
IMPA1,GO:0000287,F
IRAK3,GO:0000287,F
IRAK4,GO:0000287,F
ITPK1,GO:0000287,F
LATS1,GO:0000287,F
LHPP,GO:0000287,F
MAP2K7,GO:0000287,F
MAP3K5,GO:0000287,F
MAP3K6,GO:0000287,F
MAP3K7,GO:0000287,F
MAP3K8,GO:0000287,F
MAPK12,GO:0000287,F
MARK1,GO:0000287,F
MARK2,GO:0000287,F
MAST1,GO:0000287,F
MAST2,GO:0000287,F
MAST3,GO:0000287,F
MAST4,GO:0000287,F
MOV10L1,GO:0000287,F
MSH2,GO:0000287,F
MSH6,GO:0000287,F
MTG2,GO:0000287,F
MTHFD2,GO:0000287,F
MTPAP,GO:0000287,F
MVK,GO:0000287,F
NCS1,GO:0000287,F
NEK6,GO:0000287,F
NIM1K,GO:0000287,F
NLK,GO:0000287,F
NLRC4,GO:0000287,F
NME1,GO:0000287,F
NT5C1A,GO:0000287,F
NT5C1B,GO:0000287,F
NT5C1B-RDH14,GO:0000287,F
NT5C3A,GO:0000287,F
NT5C3B,GO:0000287,F
NUAK2,GO:0000287,F
NUDT16,GO:0000287,F
NUDT18,GO:0000287,F
NUDT3,GO:0000287,F
NUDT5,GO:0000287,F
NUDT7,GO:0000287,F
OPA1,GO:0000287,F
OXSR1,GO:0000287,F
PAPOLA,GO:0000287,F
PCK1,GO:0000287,F
PDCD6,GO:0000287,F
PDXK,GO:0000287,F
PDXP,GO:0000287,F
PGM1,GO:0000287,F
PGM2,GO:0000287,F
PGM3,GO:0000287,F
PGM5,GO:0000287,F
PGP,GO:0000287,F
PI4K2A,GO:0000287,F
PIF1,GO:0000287,F
PINK1,GO:0000287,F
PKLR,GO:0000287,F
PKM,GO:0000287,F
PLK1,GO:0000287,F
PPA1,GO:0000287,F
PPA2,GO:0000287,F
PPM1A,GO:0000287,F
PPM1B,GO:0000287,F
PRKACB,GO:0000287,F
PRPS1,GO:0000287,F
PRPS1L1,GO:0000287,F
PRPS2,GO:0000287,F
PRPSAP1,GO:0000287,F
PRPSAP2,GO:0000287,F
PRTFDC1,GO:0000287,F
PSPH,GO:0000287,F
PUDP,GO:0000287,F
RAN,GO:0000287,F
RAP2A,GO:0000287,F
RHEB,GO:0000287,F
RNASEH1,GO:0000287,F
RPS6KA1,GO:0000287,F
RPS6KA2,GO:0000287,F
RPS6KA3,GO:0000287,F
RPS6KA4,GO:0000287,F
RPS6KA5,GO:0000287,F
RPS6KA6,GO:0000287,F
RRAGC,GO:0000287,F
S100P,GO:0000287,F
SEPT4,GO:0000287,F
SIK1,GO:0000287,F
SIK2,GO:0000287,F
SIK3,GO:0000287,F
SNCA,GO:0000287,F
SNRK,GO:0000287,F
SPHK1,GO:0000287,F
SRPK1,GO:0000287,F
SRPK2,GO:0000287,F
SRR,GO:0000287,F
STK11,GO:0000287,F
STK26,GO:0000287,F
STK38,GO:0000287,F
STK38L,GO:0000287,F
STK3,GO:0000287,F
STK4,GO:0000287,F
SUCLA2,GO:0000287,F
SUCLG2,GO:0000287,F
TDG,GO:0000287,F
TDP2,GO:0000287,F
TESC,GO:0000287,F
THG1L,GO:0000287,F
THTPA,GO:0000287,F
TOP2A,GO:0000287,F
TREX2,GO:0000287,F
TSSK1B,GO:0000287,F
TSSK2,GO:0000287,F
TSSK3,GO:0000287,F
TSSK4,GO:0000287,F
TSSK6,GO:0000287,F
UBA2,GO:0000287,F
WEE1,GO:0000287,F
WEE2,GO:0000287,F
WNK1,GO:0000287,F
WRN,GO:0000287,F
XXYLT1,GO:0000287,F
XYLT2,GO:0000287,F
YDJC,GO:0000287,F
ARNTL,GO:0000976,F
ATF3,GO:0000976,F
ATF6,GO:0000976,F
CREB3L3,GO:0000976,F
CRY2,GO:0000976,F
DDIT3,GO:0000976,F
DUX4,GO:0000976,F
DUX4L9,GO:0000976,F
EGR1,GO:0000976,F
FOXJ1,GO:0000976,F
FOXK1,GO:0000976,F
FOXK2,GO:0000976,F
GATA1,GO:0000976,F
GATA3,GO:0000976,F
HDAC1,GO:0000976,F
HR,GO:0000976,F
JMJD1C,GO:0000976,F
KDM3A,GO:0000976,F
KDM3B,GO:0000976,F
MAFK,GO:0000976,F
MTA2,GO:0000976,F
NFE2,GO:0000976,F
NFE2L1,GO:0000976,F
NFE2L2,GO:0000976,F
NFE2L3,GO:0000976,F
NFKB1,GO:0000976,F
NKX3-1,GO:0000976,F
NONO,GO:0000976,F
NR1D1,GO:0000976,F
NR1D2,GO:0000976,F
NR1H2,GO:0000976,F
NR1H3,GO:0000976,F
NR1H4,GO:0000976,F
NR1I2,GO:0000976,F
NR1I3,GO:0000976,F
NR5A1,GO:0000976,F
NR5A2,GO:0000976,F
PER1,GO:0000976,F
PER2,GO:0000976,F
PER3,GO:0000976,F
PITX2,GO:0000976,F
POU5F1,GO:0000976,F
PPARA,GO:0000976,F
PPARD,GO:0000976,F
PPARG,GO:0000976,F
PSPC1,GO:0000976,F
RARA,GO:0000976,F
RARB,GO:0000976,F
RARG,GO:0000976,F
