gene,GO.term,type
ACVR1B,GO:0000082,P
ACVR1,GO:0000082,P
BCAT1,GO:0000082,P
CACUL1,GO:0000082,P
CAMK2A,GO:0000082,P
CCND1,GO:0000082,P
CCNE1,GO:0000082,P
CCNE2,GO:0000082,P
CDC25A,GO:0000082,P
CDC34,GO:0000082,P
CDC45,GO:0000082,P
CDC6,GO:0000082,P
CDC7,GO:0000082,P
CDK2,GO:0000082,P
CDK3,GO:0000082,P
CDK4,GO:0000082,P
CDK6,GO:0000082,P
CDKN1A,GO:0000082,P
CDKN1B,GO:0000082,P
CDKN2A,GO:0000082,P
CDKN2C,GO:0000082,P
CDKN2D,GO:0000082,P
CDKN3,GO:0000082,P
CDT1,GO:0000082,P
CRLF3,GO:0000082,P
CUL1,GO:0000082,P
CUL2,GO:0000082,P
CUL3,GO:0000082,P
CUL4A,GO:0000082,P
CUL4B,GO:0000082,P
CUL5,GO:0000082,P
DBF4,GO:0000082,P
EIF4EBP1,GO:0000082,P
EIF4E,GO:0000082,P
GMNN,GO:0000082,P
GPR132,GO:0000082,P
GSPT1,GO:0000082,P
HINFP,GO:0000082,P
ID4,GO:0000082,P
INHBA,GO:0000082,P
IQGAP3,GO:0000082,P
ITGB1,GO:0000082,P
LATS1,GO:0000082,P
LATS2,GO:0000082,P
MAX,GO:0000082,P
MCM10,GO:0000082,P
MCM2,GO:0000082,P
MCM3,GO:0000082,P
MCM4,GO:0000082,P
MCM5,GO:0000082,P
MCM6,GO:0000082,P
MCM7,GO:0000082,P
MCM8,GO:0000082,P
MNAT1,GO:0000082,P
MYC,GO:0000082,P
NASP,GO:0000082,P
ORC1,GO:0000082,P
ORC2,GO:0000082,P
ORC3,GO:0000082,P
ORC4,GO:0000082,P
ORC5,GO:0000082,P
ORC6,GO:0000082,P
PHF8,GO:0000082,P
PIAS1,GO:0000082,P
PIM2,GO:0000082,P
PLK2,GO:0000082,P
PLK3,GO:0000082,P
POLA1,GO:0000082,P
POLA2,GO:0000082,P
POLE2,GO:0000082,P
POLE3,GO:0000082,P
POLE4,GO:0000082,P
POLE,GO:0000082,P
PPAT,GO:0000082,P
PPP3CA,GO:0000082,P
PPP6C,GO:0000082,P
PRIM1,GO:0000082,P
PRIM2,GO:0000082,P
RB1,GO:0000082,P
RBBP8,GO:0000082,P
RCC1,GO:0000082,P
RHOU,GO:0000082,P
RPA1,GO:0000082,P
RPA2,GO:0000082,P
RPA3,GO:0000082,P
RPA4,GO:0000082,P
RPS6KB1,GO:0000082,P
SKP2,GO:0000082,P
SPDYA,GO:0000082,P
TAF10,GO:0000082,P
TFDP3,GO:0000082,P
TRIM71,GO:0000082,P
USP26,GO:0000082,P
USP29,GO:0000082,P
USP37,GO:0000082,P
BACH1,GO:0000083,P
BRD4,GO:0000083,P
CCNA1,GO:0000083,P
CCNE1,GO:0000083,P
CDC45,GO:0000083,P
CDC6,GO:0000083,P
CDT1,GO:0000083,P
DHFR,GO:0000083,P
E2F1,GO:0000083,P
E2F4,GO:0000083,P
E2F6,GO:0000083,P
FBXO5,GO:0000083,P
GFI1,GO:0000083,P
HINFP,GO:0000083,P
KLF11,GO:0000083,P
NPAT,GO:0000083,P
ORC1,GO:0000083,P
PCNA,GO:0000083,P
POLA1,GO:0000083,P
RRM2,GO:0000083,P
TFDP1,GO:0000083,P
TFDP2,GO:0000083,P
TYMS,GO:0000083,P
ABCB1,GO:0000086,P
ACTR1A,GO:0000086,P
AJUBA,GO:0000086,P
AKAP9,GO:0000086,P
ALMS1,GO:0000086,P
ARPP19,GO:0000086,P
AURKA,GO:0000086,P
BORA,GO:0000086,P
BRSK2,GO:0000086,P
BTRC,GO:0000086,P
CCNA2,GO:0000086,P
CCNB1,GO:0000086,P
CCNB2,GO:0000086,P
CCNY,GO:0000086,P
CCP110,GO:0000086,P
CDC25A,GO:0000086,P
CDC25B,GO:0000086,P
CDC25C,GO:0000086,P
CDK14,GO:0000086,P
CDK1,GO:0000086,P
CDK2,GO:0000086,P
CDK5RAP2,GO:0000086,P
CDKN1A,GO:0000086,P
CDKN2B,GO:0000086,P
CENPJ,GO:0000086,P
CEP131,GO:0000086,P
CEP135,GO:0000086,P
CEP152,GO:0000086,P
CEP164,GO:0000086,P
CEP192,GO:0000086,P
CEP250,GO:0000086,P
CEP290,GO:0000086,P
CEP41,GO:0000086,P
CEP57,GO:0000086,P
CEP63,GO:0000086,P
CEP70,GO:0000086,P
CEP72,GO:0000086,P
CEP76,GO:0000086,P
CEP78,GO:0000086,P
CETN2,GO:0000086,P
CHEK2,GO:0000086,P
CIT,GO:0000086,P
CKAP5,GO:0000086,P
CLASP1,GO:0000086,P
CNTRL,GO:0000086,P
CSNK1D,GO:0000086,P
CSNK1E,GO:0000086,P
CUL1,GO:0000086,P
DCTN1,GO:0000086,P
DCTN2,GO:0000086,P
DCTN3,GO:0000086,P
DNM2,GO:0000086,P
DYNC1H1,GO:0000086,P
DYNC1I2,GO:0000086,P
DYNLL1,GO:0000086,P
ENSA,GO:0000086,P
FBXL12,GO:0000086,P
FBXL15,GO:0000086,P
FBXL18,GO:0000086,P
FBXL7,GO:0000086,P
FBXW11,GO:0000086,P
FGFR1OP,GO:0000086,P
FOXM1,GO:0000086,P
HAUS1,GO:0000086,P
HAUS2,GO:0000086,P
HAUS3,GO:0000086,P
HAUS4,GO:0000086,P
HAUS5,GO:0000086,P
HAUS6,GO:0000086,P
HAUS7,GO:0000086,P
HAUS8,GO:0000086,P
HSP90AA1,GO:0000086,P
KDM8,GO:0000086,P
KHDRBS1,GO:0000086,P
LATS1,GO:0000086,P
LCMT1,GO:0000086,P
MAPRE1,GO:0000086,P
MASTL,GO:0000086,P
MELK,GO:0000086,P
NDE1,GO:0000086,P
NEDD1,GO:0000086,P
NEK2,GO:0000086,P
NES,GO:0000086,P
NINL,GO:0000086,P
ODF2,GO:0000086,P
OFD1,GO:0000086,P
OPTN,GO:0000086,P
PAFAH1B1,GO:0000086,P
PCM1,GO:0000086,P
PCNT,GO:0000086,P
PHLDA1,GO:0000086,P
PKMYT1,GO:0000086,P
PLCB1,GO:0000086,P
PLK1,GO:0000086,P
PLK3,GO:0000086,P
PLK4,GO:0000086,P
PPM1D,GO:0000086,P
PPME1,GO:0000086,P
PPP2R1A,GO:0000086,P
PPP2R2A,GO:0000086,P
PRKACA,GO:0000086,P
PRKAR2B,GO:0000086,P
SDCCAG8,GO:0000086,P
SFI1,GO:0000086,P
SKP1,GO:0000086,P
SKP2,GO:0000086,P
SSNA1,GO:0000086,P
TAF2,GO:0000086,P
TPD52L1,GO:0000086,P
TUBA1A,GO:0000086,P
TUBA4A,GO:0000086,P
TUBB4A,GO:0000086,P
TUBB4B,GO:0000086,P
TUBB,GO:0000086,P
TUBG1,GO:0000086,P
USH1C,GO:0000086,P
WEE1,GO:0000086,P
WNT10B,GO:0000086,P
YWHAE,GO:0000086,P
YWHAG,GO:0000086,P
ACVR2B,GO:0000122,P
AEBP1,GO:0000122,P
AEBP2,GO:0000122,P
AES,GO:0000122,P
AHRR,GO:0000122,P
AJUBA,GO:0000122,P
AKIRIN2,GO:0000122,P
ALX1,GO:0000122,P
ANKRD1,GO:0000122,P
ANKRD2,GO:0000122,P
ANKRD33,GO:0000122,P
APBB1,GO:0000122,P
AR,GO:0000122,P
ARHGAP35,GO:0000122,P
ARID1A,GO:0000122,P
ARID5A,GO:0000122,P
ARID5B,GO:0000122,P
ARX,GO:0000122,P
ASCL1,GO:0000122,P
ASCL2,GO:0000122,P
ASCL3,GO:0000122,P
ATF2,GO:0000122,P
ATF3,GO:0000122,P
ATF7IP,GO:0000122,P
ATN1,GO:0000122,P
ATXN1L,GO:0000122,P
AURKB,GO:0000122,P
BACH1,GO:0000122,P
BACH2,GO:0000122,P
BARX2,GO:0000122,P
BATF3,GO:0000122,P
BCL11A,GO:0000122,P
BCL6B,GO:0000122,P
BCL6,GO:0000122,P
BCOR,GO:0000122,P
BEND3,GO:0000122,P
BHLHE40,GO:0000122,P
BHLHE41,GO:0000122,P
BMI1,GO:0000122,P
BMP2,GO:0000122,P
BMP4,GO:0000122,P
BMP6,GO:0000122,P
BPTF,GO:0000122,P
BRMS1,GO:0000122,P
BRMS1L,GO:0000122,P
BTG2,GO:0000122,P
C1QBP,GO:0000122,P
CALR,GO:0000122,P
CAV1,GO:0000122,P
CBFA2T2,GO:0000122,P
CBFB,GO:0000122,P
CBX2,GO:0000122,P
CBX4,GO:0000122,P
CBX5,GO:0000122,P
CBX6,GO:0000122,P
CBX7,GO:0000122,P
CBX8,GO:0000122,P
CC2D1A,GO:0000122,P
CC2D1B,GO:0000122,P
CCND1,GO:0000122,P
CCND3,GO:0000122,P
CCNE1,GO:0000122,P
CD36,GO:0000122,P
CDC73,GO:0000122,P
CDK2,GO:0000122,P
CDX2,GO:0000122,P
CDX4,GO:0000122,P
CEBPA,GO:0000122,P
CEBPB,GO:0000122,P
CELA1,GO:0000122,P
CGGBP1,GO:0000122,P
CHCHD3,GO:0000122,P
CHD8,GO:0000122,P
CIC,GO:0000122,P
CIITA,GO:0000122,P
CITED2,GO:0000122,P
CNBP,GO:0000122,P
CNOT1,GO:0000122,P
CNOT2,GO:0000122,P
CNOT7,GO:0000122,P
COMMD3-BMI1,GO:0000122,P
COPS2,GO:0000122,P
CPEB3,GO:0000122,P
CREB3L1,GO:0000122,P
CREBBP,GO:0000122,P
CREM,GO:0000122,P
CRY1,GO:0000122,P
CRY2,GO:0000122,P
CRYM,GO:0000122,P
CTBP1,GO:0000122,P
CTCF,GO:0000122,P
CTR9,GO:0000122,P
CUL3,GO:0000122,P
CUX1,GO:0000122,P
CUX2,GO:0000122,P
CXXC5,GO:0000122,P
DAB2IP,GO:0000122,P
DACH1,GO:0000122,P
DACT1,GO:0000122,P
DDIT3,GO:0000122,P
DDX20,GO:0000122,P
DDX5,GO:0000122,P
DEAF1,GO:0000122,P
DICER1,GO:0000122,P
DKK1,GO:0000122,P
DLG1,GO:0000122,P
DLL4,GO:0000122,P
DLX1,GO:0000122,P
DLX2,GO:0000122,P
DLX4,GO:0000122,P
DMAP1,GO:0000122,P
DMBX1,GO:0000122,P
DMRT1,GO:0000122,P
DNAJA3,GO:0000122,P
DNAJB1,GO:0000122,P
DNAJB4,GO:0000122,P
DNAJB5,GO:0000122,P
DNAJC17,GO:0000122,P
DNMT1,GO:0000122,P
DNMT3A,GO:0000122,P
DNMT3B,GO:0000122,P
DR1,GO:0000122,P
DRAP1,GO:0000122,P
DRD3,GO:0000122,P
DUSP22,GO:0000122,P
DUSP26,GO:0000122,P
E2F1,GO:0000122,P
E2F2,GO:0000122,P
E2F3,GO:0000122,P
E2F4,GO:0000122,P
E2F5,GO:0000122,P
E2F6,GO:0000122,P
E2F7,GO:0000122,P
E2F8,GO:0000122,P
E4F1,GO:0000122,P
EDN1,GO:0000122,P
EDNRB,GO:0000122,P
EED,GO:0000122,P
EFNA1,GO:0000122,P
EGR1,GO:0000122,P
EHMT1,GO:0000122,P
EHMT2,GO:0000122,P
EID1,GO:0000122,P
EID2,GO:0000122,P
ELANE,GO:0000122,P
ELK4,GO:0000122,P
EN1,GO:0000122,P
ENO1,GO:0000122,P
EOMES,GO:0000122,P
EP300,GO:0000122,P
EPC1,GO:0000122,P
EPO,GO:0000122,P
ERF,GO:0000122,P
ESR1,GO:0000122,P
ESR2,GO:0000122,P
ESRRA,GO:0000122,P
ESX1,GO:0000122,P
ETS2,GO:0000122,P
ETV3,GO:0000122,P
ETV6,GO:0000122,P
ETV7,GO:0000122,P
EZH2,GO:0000122,P
EZR,GO:0000122,P
FASLG,GO:0000122,P
FBP1,GO:0000122,P
FERD3L,GO:0000122,P
FEZF1,GO:0000122,P
FEZF2,GO:0000122,P
FGF9,GO:0000122,P
FGFR1,GO:0000122,P
FGFR2,GO:0000122,P
FHL2,GO:0000122,P
FLCN,GO:0000122,P
FNIP1,GO:0000122,P
FNIP2,GO:0000122,P
FOSB,GO:0000122,P
FOXA1,GO:0000122,P
FOXC1,GO:0000122,P
FOXC2,GO:0000122,P
FOXD3,GO:0000122,P
FOXE1,GO:0000122,P
FOXF1,GO:0000122,P
FOXH1,GO:0000122,P
FOXJ1,GO:0000122,P
FOXL2,GO:0000122,P
FOXM1,GO:0000122,P
FOXO1,GO:0000122,P
FOXO3,GO:0000122,P
FOXO4,GO:0000122,P
FOXO6,GO:0000122,P
FOXP1,GO:0000122,P
FOXP2,GO:0000122,P
FOXP3,GO:0000122,P
FOXQ1,GO:0000122,P
FOXS1,GO:0000122,P
FRK,GO:0000122,P
FST,GO:0000122,P
FZD8,GO:0000122,P
GABPA,GO:0000122,P
GATA1,GO:0000122,P
GATA2,GO:0000122,P
GATA3,GO:0000122,P
GATA6,GO:0000122,P
GATAD2A,GO:0000122,P
GATAD2B,GO:0000122,P
GCFC2,GO:0000122,P
GFI1B,GO:0000122,P
GFI1,GO:0000122,P
GLI2,GO:0000122,P
GLI3,GO:0000122,P
GLIS2,GO:0000122,P
GLIS3,GO:0000122,P
