NetBAS DAVID
GO:0005024 3.965118486261319E-4
GO:0046332 6.700141856296273E-29
GO:0048185 5.60659166445642E-6
GO:0034713 2.154446085795673E-6
GO:0005160 1.9034135339158146E-12
GO:0070411 9.376876746543526E-11
GO:0005026
GO:0019838 2.300658591739997E-6
GO:0004675 1.7081546413850103E-7
GO:0050431 1.4150074367206658E-5
