"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
"SAR1A","ZFPM1","GCNT1","CSGALNACT1","POLA2","ARL5A","PTGIR","IL6",,"CCL23","APOC4","NOP16","MCM3","PARM1","AK4","FOXI1","CCPG1","TNNC2","PKP2","ENO2","WNT5B","STAT5A","SEMA5B","TAT","SLA","MAK","CDH11","KRTAP2-1","SAMD11","SSSCA1","DUOXA2","LHX2","RUVBL1","ELF5","S100A6","EPAS1","C1orf95","ATXN1","NUPL1","FOLR3","N4BP2L2","IL1RL2","MYOM1","SPTBN4","MFAP4","GMIP","ANKRD53","C14orf37","CTSH","ZMAT5","APLNR","GRPR","GAL","SLCO2A1","KIF21B","ZNF613","GRIN1","KCNC2","ANKRD33","AQP1","PLEKHA2","GNB1L","CDK2","IER3","KIAA1161","OGN","NAPB","UGT8","POM121L9P","FOSL1","TNFRSF4","C1orf20","LAS1L","MBTPS1","TUBB4A","MYLK","SLC25A5","TFEC","DAPP1","LOC285758","EGR2","CDKN1A","HMOX1","FKBP6","ASPH","S100A8","FCHO1","NQO1","CTGF","LBX1","NRCAM","NRCAM","NRCAM","TAGLN3","SPINK1","AK5","INHBA","TAGLN3","MMP17","CRIP1"
"PLXNA2","CLN6","A2M","S100A6","KIFC1","FTSJ3","ALOX15","CXCL2",,"LOR","EPHA2","TOP1","GINS2","IL8","ANGPTL1","PFKP","CRYZ","CHRNA1","MSX2","C1orf222","PRKCD","CLDN1","NBL1","ICAM5","PRDM11","F3","LSR","PALMD","MYB","P2RX5","LOC653605","LY86","AARS","C10orf116","UPK2","CAPN6","MYL3","C21orf7","ARL4C","ACTA1","RUNX3","USP9Y","APOBEC1","ACOT12","CYTL1","TRIB2","CYP2B7P1","SESN3","PTH1R","SYT8","EOMES","NTRK1","PAPPA","CPA4","CCND1","IFNA6","PPEF2","HAUS7","PDIA5","WISP1","SLC24A1","THRA","MAD2L1","HINT1","BMPR1B","GPR126","GABRA5","FA2H","CELA2A","TNFRSF4","IL13","LILRB4","SLC39A7","TMEM158","SGK1","TEAD1","WISP2","ZMAT3","C1orf116","GPM6A","TWF1","PKIB","BTG2","DLX5","BBS9","SPOCK1","PSRC1","UGDH","CYR61","PTPRO","DOCK4","DOCK4","DOCK4","KRT34","ESM1","SORL1","KIF5C","KRT34","MMP11","FOXF2"
"ZBTB16","CASP7","ASPH","HSD17B11","KIF4A","AURKB","MPO","CD83",,"PPIB","CENPB","SMTN","SERPINB7","GDE1","CDKN2B","MCM6","SCAF11","SPINK2","FLT4","PPP1R1A","NEFL","PAX1","XCR1","TIAM2","CLEC1A","ZNF286A","LOXL1","STXBP2","CCNE1","GLRX5","AGPAT3","CD68","HSPA5","EPAS1","MEF2C","HPGD","LOC284244","TMEM187","PKIA","SLPI","PDE4B","RNF122","HTR3B","DLX1","BHLHE40","BUD31","CRIP2","ADCK3","CUBN","FOXQ1","CTSH","TREM1","TEK","SLC2A6","LTBP4","MIA","KCNH2","CARTPT","GUCA1B","SAMD11","PDIA5","ZSCAN22","CDC25B","C11orf31","CYP4F11","OMD","RAMP3","SERINC5","EMP1","GADD45B","GADD45B","CPA4","PTGDS","LRPAP1","IRS1","RHOQ","DDX54","S100A8","LAD1","PRAM1","TNFSF15","PPP1R17","IL1B","RPL23AP53","TLR2","TUBA1A","APPBP2","FZD7","DAB2","SPRR2B","SNAP91","SNAP91","SNAP91","ESM1","SCG5","METTL7A","CD247","ESM1","LMO1","TMEM22"
"YBX1","BOK","CYP1B1","EPAS1","TYMS","COX7B","P2RX7","CXCL3",,"HSD17B10","CD52","STC1","HAT1","PLK2","PLK2","ALDOC","ROR1","OR7E24","ABCB1","GCNT1","FANCF","GNA14","MAZ","COL9A3","PIDD","FOSL1","SLC16A2","RPS6KA1","RRAGD","SLC25A26","TOX3","MYH1","CEBPG","CHST11","EPAS1","ANKRD6","CCNT1","N4BP2L2","COL13A1","NGB","OR2B6","HMGA2","SMPDL3B","ENPP3","CLIC4","LOC647835","NPC1L1","CRELD1","NRK","ARHGAP27","APOM","SLC7A5","ITGA5","ADRB2","ITGA5","ALOX5AP","ZNF230","PFDN2","REEP6","CDR2","PDE6B","FXYD6","TCF19","MYLK","SLC7A10","CNN1","RASL10A","COL20A1","LECT2","IL13","FOSL1","PTH1R","FAM149B1","GNG11","TFEB","FLOT1","LETMD1","CYFIP2","CLDN7","CEACAM6","RIN2","BTG2","THBD","CSN2","PRG1","RAD51AP1","OXSR1","LEF1","DDAH1","CSN1S1","STC1","STC1","STC1","PDE2A","CLSTN2","ATP1A2","CELA2B","PDE2A","CD79A","DHRS2"
"SGTA","PITPNM1","CMAHP","EGLN3","DNAJC3","RRM2","PPIP5K1","IL1B",,"HSPG2","AXIN1","FRMD6","MZT1","SNHG11","IL8","AK4","ITGA2","CORO2B","AIM1","PLEKHF1","MAS1","CST5","COL4A4","BCL2L11","GPA33","THBD","COL1A2","BMP4","ZNF483","ECE2","ATP6V1E1","PENK","RCHY1","RFTN1","CEACAM6","MYCL1","CACNA2D3","AKR1B10","TSPAN13","SLC15A3","LOC652068","SIX1","HDAC9","CYP2C8","BCAT1","GPR87","SLC28A1","MEP1B","RBP4","SPOCK2","FOXQ1","DMP1","ITGB8","LAMB3","JAG1","BMPR1B","TPPP","ZNF576","TNFAIP3","RNF207","SH2D1A","EPHX1","NCAPH","GFER","HAPLN1","MYOF","HCN1","ICK","IL8","CDC25A","VDR","TLR6","ALDH5A1","PFKFB3","FGB","C8orf58","HADHB","CCR2","AREG","RASGRP1","ZFP36L1","ITGB8","MAFB","NPBWR2","PRSS3","IGSF3","FSD1","IGFBP3","ASAP1","GRM5","FAM155B","FAM155B","FAM155B","IL37","TAGLN3","NEFL","RBP4","IL37","TLR4","PRF1"
"CSGALNACT1","EFNB2","TNFAIP8","IL1R1","FBXO45","MCM6","TGM4","NFKB1",,"EIF5A","SLC19A1","ITPRIPL2","MT1B","TESC","SFTPD","BST2","ANGPT2","MYO1A","SLC39A14","CHODL","CD8A","MAS1","PLAC9","ABCG5","RORC","KCNA1","AUTS2","CALR","CEBPA","TGFBRAP1","CEACAM19","OASL","SPOP","MAOA","ALDH3A1","PYGL","DKFZP434C153","NUPL1","KIAA0319L","C1orf21","UNG","IQCA1","KCNK2","HOXB4","IL21R","CCL16","MCF2L","FAM134B","HS3ST1","WDFY3","COL2A1","SPRR2C","NAV2","CLDN1","KCNN3","HTN1","AMPH","IDH1","OPN1SW","LRRC2","SAMD11","ZFP30","TRPV2","PIWIL1","BTBD17","FBLN5","EPB49","NINJ2","CD14","SOCS2","SOCS2","C19orf28","CREG1","ORC2","HYAL1","SNAP23","CCT4","SORL1","AMPD3","VAT1L","DOCK4","GNG11","TFPI","FCER1A","ELK3","PNP","MYCBP","GPR32","DLC1","SNCB","DYNC1I1","DYNC1I1","DYNC1I1","SMPX","IL1RAPL1","PEG3","G0S2","SMPX","CR2","TGM2"
"WEE1","CAPRIN2","CSGALNACT1","SLC2A10","TOP2B","CDC25C","CDC42EP2","NFKBIA",,"MUC5AC","MUC5AC","FZD8","TRNP1","CRLF1","SPHK1","PCYT2","ATR","RELB","DEFA5","RUNX1","TRPC4","LAS1L","HPS4","DYSF","RIPK4","CST5","psiTPTE22","SLC27A2","C6orf168","UTP14A","LINC00112","GABRQ","XIST","TNNT1","FGFR3","NFE2L3","XPNPEP2","SLC6A15","DNAJC12","ERMAP","IL8","PRSS21","GRID2","VWA1","ANXA3","KRT15","CATSPERB","CIDEB","APOA2","FGF19","MOGAT2","CRYGA","LAMB3","ATP13A2","EDN1","ZBTB10","IFIT1","AHSA1","HCLS1","PPARA","POLG2","MRE11A","RPA3","C16orf48","GLT25D2","INSL6","NELL1","SRPK3","ACTA2","RGS3","RGS3","GRIA4","NEK9","SIK1","CCDC82","DLX5","CTSH","MARCH2","MST1R","NUDT11","NRP1","PID1","CFL2","MAGEA6","GFPT2","CIB1","LBR","SQSTM1","DUSP1","TLX1","ST3GAL6","ST3GAL6","ST3GAL6","RBP4","CDSN","CDK5R1","GBA3","RBP4","PDK4","C10orf116"
"TRIM23","MTSS1L","KIAA1199","KRT81","KRT26","PIK3CA","TIMP2",,,"EPHA2","RRAS","EHD4","S1PR1","TMEM40","TMPRSS4","GPX2","SAT1","DUSP8","BAMBI","FUT1","CD24","ABLIM3","TFF3","GRIK1","SYN1","HTR1F","EFEMP1","B4GALT1","TM6SF1","DGAT2","C9orf37","C3AR1","GMPPA","EHF","S100P","GPR37","CLCA1","HIST1H1C","IL6R","CNPY4","STARD13","INE1","MED18","SLC23A1","SEC24D","NAV3","LPAR3","NR1D1","MOGAT2","ENPP2","SOX17","SPP1","ADRB2","GREM1","STC2","MAN1A1","TNNI3","ZBED2","HSPA1B","ALPL","RNF207","CTC1","WDR90","SEMA5B","SLC6A11","AKR1B10","CCK","KIAA1958","SCN3A","VDR","CDC25A","FA2H","TAF12","FOSL1","FAT4","RPN2","ST13","SAMHD1","MAOA","CHML","PID1","TFEC","SGK1","HSPA1L","COL6A3","LANCL1","ZMIZ1","MPPED2","DUT","FGG","CDR1","CDR1","CDR1","HSD17B2","HSD17B2","ANK3","OGDHL","HSD17B2","FGF22","TRIM48"
"POFUT2","KLHL21","LPAR6","SGPP1","ATF1","TMOD3","GRK1",,,"AGXT","DMWD","TXNDC12","VEGFC","KCNK5","PARM1","RRM2","C19orf6","IL32","PLEKHB2","PTRF","FSD1","PTPRT","PPP1R3C","CIITA","POU2AF1","MTMR11","ADORA2B","HMGB1","UBE2QL1","PIGW","C1orf222","DDX3Y","SLC22A17","MGAT4A","CLMN","SERPINI1","PRND","GALNT3","ITGA2","VILL","HR","SLC16A6","SNAI1","TCHH","OPN3","LIPG","CORT","ASCL2","SPP2","FGF5","VEGFB","PSAT1","FAP","TEK","VEGFC","P2RX6","NR6A1","SNTB1","VTN","EDN2","LRRC2","RPA1","LGALS3BP","UBE2C","AIFM3","LTBP2","SST","RTKN","EGR3","FLT3LG","C19orf28","NUDT11","SNRPD3","DNAJA2","RRAD","C9orf95","MPV17","GPR18","PRSS22","C2orf68","STC1","HIST1H2BG","FOS","GABRR1","GNG11","CDK8","TM9SF2","FAM5C","ECT2","CCIN","SNAP25","SNAP25","SNAP25","ZP4","DNAJA4","PLSCR4","LRIG1","ZP4","GLB1L2","DCLK1"
"C16orf45","TLE4","GLRX","VTCN1","MYT1L","SGOL1","CDH4",,,"HTR6","SLN","DDX21","CRISPLD2","DHCR24","ATF3","FGFBP1","AKAP9","HTR2A","NPTX1","ENC1","CEP41","C2CD2L","AP2S1","IGFBP4","TFAP4","TPMT","COL3A1","CTSD","KISS1R","TECTB","NYX","SFRP2","IL8","SDCBP","ASPH","GRAMD3","PELI1","PLSCR4","KLF4","SETBP1","CXCR7","STAR","MTL5","ACHE","SLC3A2","ARVCF","COLQ","ST5","SLC39A8","MBD4","P4HA1","OLFML3","CLDN1","SLC7A5","SLC1A4","LYPD1","STAT2","MTX2","MEF2C","REEP6","EDN2","NOXO1","PCNA","CHCHD7","KCTD14","FAM178A","LIN7B","AHR","CLEC7A","PTCH1","CISH","MVD","C7orf54","WDR46","PDGFA","PRKACG","ALDH7A1","SLC22A4","SEMA4B","MATN2","GDF15","SGK1","GJA1","CCDC57","VEGFC","FAT2","EDN1","PGD","EMP2","FN3K","ANGPTL4","ANGPTL4","ANGPTL4","SPINK1","KCNK15","ITGBL1","FBXO4","SPINK1","ZSWIM1","L1CAM"
"IFT74","LOC202152","EPAS1","FGF13","UQCC","SRSF1","SLC25A42",,,"KAT5","ID1","LRRC8A","PSMD2","ANXA13","ALDOC","SPRR1A","NEK1","EMILIN1","ASRGL1","GADD45G","NNAT","FABP4","FOS","TNNC2","NF1","DYSF","MARCKS","KLHL15","ZNF367","CCDC78","LOC100288594","PSMD8","PLCH1","EDN1","PTGER4","GLRX","IRF8","PKD2L1","C3orf52","PMEPA1","CCL1","LHX6","CTRB2","CES1","SAR1B","ZNF668","KLHL3","PRSS12","GLIPR1","KLC2","CMTM8","DLX6","C8orf4","GPRC5A","MLL","RASL12","RHCE","C4orf37","CABP4","DRD4","SLC16A6","POLD4","DNAJC9","AQP5","AKT2","PKP2","CDH9","SOX10","BCL2A1","SLC7A5","SLAMF1","ZNF345","ZNF185","HSPA2","LEMD3","C13orf15","TRAF3IP2","HLA-DMA",,"PLCH1","C15orf48","CREB5","CDKN1A","VTN","ZMYND8","RNF103","CDK4","SULT1E1","ETV5","PLSCR2","ETV1","ETV1","ETV1","IL1R2","HSD11B1","PELI2","TSPAN1","IL1R2","ITGA2","TUBB2B"
"PRKD3","NUP43","MMP1","ATP6V0A4","PDS5B","SRSF10","FOXJ1",,,"MALL","KLK6","ZBTB2","MT1X","GDPD2","CD55","PAFAH2","SULF1","PLA2G4C","PRG3","RBP1","IL32","KRT81","MC1R","PTK2B","IER3","KLF6","RBP1","ICAM5","TMEM158","AGPAT3","COL4A4","DLK1","SEC13","PGM1","DUSP4","XYLT1","HSPB7","MAPK8IP3","IL1RL1","MTMR10","ZNF79","GAGE3","RALYL","GSTA3","IFRD1","CEP41","CD82","DIDO1","SPINK1","KIF21A","NRK","UNC13A","PDCD1LG2","ITGA4","PAPPA","H2AFY2","LHCGR","SNRNP25","SLC17A1","NR2E3","COL19A1","SULF2","LOC202152","GREM2","SLC7A11","HMOX1","ICAM5","SEMA5A","PMP2","AIM2","RGS16","NDRG4","PDIA3","CDK5R2","PKIA","GLTSCR1","PDHA1","DICER1",,"HHLA2","CXCL2","TP53INP1","TFEC","PIWIL1","NRP1","IL1A","DUSP3","EMP2","FGF2","TGM1","NTM","NTM","NTM","DHRS9","KIF5A","LMO3","HPN","DHRS9","FSD1","G0S2"
"PPAPDC2","EZH2","PLAC1","DUSP6","DCPS","AURKA","KCNC4",,,"FHL2","CCL23","ZBTB12","STRA13","VAMP5","GDE1","DHCR24","KLRG1","ITGB4","ITGA9","GAD1","PITX1","EFHD1","MAPRE2","SLCO1B3","CHST8","GPR183","UCHL1","DTX2","EML6","ERVMER34-1","HSAJ2425","MS4A4C","SDAD1","BMP7","SLC2A10","KCTD12","BHMT2","GDF5","YOD1","FAM182B","SLC7A7","LOC79015","KCNB2","BBOX1","EIF4EBP1","CLPB","ELAVL4","PHOX2B","TAX1BP3","SCAP","LOXL2","HLA-DMB","GREM1","INHBA","LAMB3","SLC30A10","CNTD2","MGC50722","ESRRB","PLEKHA2","LMO1","AKR1C3","RRM2","EXOSC2","ABHD1","CRYGS","SIDT1","NRP1","TGFBI","CISH","PIM1","AIM2","NEU3","ELOVL2","BHLHE40","FAM167A","NDUFS8","THBD",,"STX11","ABCA1","THBD","PPP1R17","LRRC37A","VCAN","C11orf57","COPB2","WNT11","FLNA","ANXA2P3","MMP11","MMP11","MMP11","ADAM8","HAS2","ZNF536","POLM","ADAM8","CRISP2","PDLIM4"
"FEM1A","SRSF4","RND1","ALDH4A1","RC3H2","METTL11A","FPGS",,,"PFKL","HSPG2","PHLPP2","PA2G4","MAN2B2","ANXA13","FDPS","RPGR","SDC4","BAG3","ITGA9","C20orf195","UPP1","ZNF358","BEST1","GALK1","P2RY10","RAMP1","LOC653605","FGFR3","C10orf2","MATK","PSMB8","UFM1","OPN3","CXADR","COTL1","SERPINA3","ATF3","CLEC2B","MCTP1","DGCR9","ETNK2","DKFZP434A062","ADA","PDXK","HSPB8","LAMC3","LOXL2","HKDC1","DLL3","OPN3","PIK3CG","INHBA","TNFRSF9","ASPH","TCHH","WBSCR23","C20orf30","KCNE2","CABP4","RFX2","SLC2A8","RPL39L","SGSM3","RORB","RHOD","CELF4","HIP1R","KCTD12","LIF","SLC7A5","SPG20","ST6GAL1","DEGS1","SMOX","ZNHIT6","CEBPD","S100A9",,"ZEB1-AS1","CXCL3","HIST2H2BE","LY96","NMUR1","CXCL3","GPR107","PIK3C2B","EFCAB11","FSCN1","SOX14","GLRX","GLRX","GLRX","G0S2","PDE2A","SV2B","FNDC8","G0S2","RFPL3-AS1","HBA2"
"LMO7","DLX1","CEACAM6","KRT7","SOX10","RLIM","CTSD",,,"ID1","PTPN3","EIF4A3","MT1G","CDKN2B","PYGL","LGALS3","N4BP2L2","ETFB","CA2","SLC7A8","FOXM1","SULT1B1","TEN1","DNAI1","HIST1H1T","CLDN15","KRT19","CASP4","GCH1","PLD6","CCDC19","ID2","FP588","PCP4","TNFRSF21","ALPP","GMIP","SCG5","KCTD12","CACNA2D3","APBA1","TIMP4","OPN1SW","PDK4","TUBB2A","SERPINB5","HCG9","P4HA1","ENPEP","VEGFB","FRZB","ADAM28","KCNN3","MMP7","LIF","HTR2C","CRYGC","FN3KRP","PRPH2","PDIA5","GPSM2","DDIT4L","CHAF1B","C12orf10","SYPL2","P2RY1","SLC17A6","FIGN","ENPP2","LGALSL","LIF","CNNM4","ORC3","CDK6","YIPF5","NRAS","NONO","TDRD7",,"RRP15","MIR22HG","TMEM71","PKIB","LPL","TMEM158","ICT1","MYLK","CCL17","FSTL1","PAGE1","RBP4","RBP4","RBP4","INHBA","TAAR5","PLP1","B3GNTL1","INHBA","PIGR","GZMB"
"C7orf50","PPM1M","INHBA","CXCR4","ZZZ3","DNM1L","SSH1",,,"SNX17","PPP5C","DNAJA1","FANCA","KCNQ1","KCNK5","OAS2","GPR37","KIAA1462","FAM3C","ARHGEF5","LHX2","DGKZ","C8G","CYP4F3","CD83","FGF2","CPE","LOC126536","FGF9","CHKA","GINS2","GAS1","ETV5","DRAM1","PPARG","CGA","BIRC3","OBSCN","FLVCR2","GRIN2C","TRIM24","ASMT","ADAM18","C3orf62","ELOVL6","TSHB","DNAL4","CXCL12","PARM1","PRKACB","PTH1R","KYNU","ADM","SLC29A1","CSF1","SCEL","CRIP1","MON1A","SERINC4","SH2D1A","DHRS3","C9orf169","MFGE8","CMTM7","SLC13A5","GNA14","KIAA1045","ATP10B","CLEC5A","PIM1","TNFRSF12A","SLC29A2","SNX19","ETFB","GADD45B","KCNK12","NCAPD2","ANKRD46",,"SHISA2","GNG11","MILR1","CLEC2B","NDOR1","CSF3","PID1","RBM15B","DHFR","GADD45B","IMPG2","ITGB2","ITGB2","ITGB2","RETN","PRDM1","PMP2","SDCCAG8","RETN","GSTCD","VIM"
"ZC3H18","SLC20A1","IGF2BP2","BCL3","SRSF10","CASP4","HBP1",,,"RRAS","IFITM1","RNPS1","PAICS","TNFRSF12A","HIST1H4H","HMGCS1","SACS","IRF9","DDAH1","DUSP6","MMP1","TRPM2","MST1R","MYOM1","BARX2","INE1","BMP4","RPL27A","CMPK2","CD3EAP","KCNQ1DN","AIF1","WIPI1","ATP6V0A4","LHFP","TNFAIP8","ANKRD2","GPR37","ALDH1A3","ALX4","CLCN4","FAM46C","FGF21","REG1A","LDLR","ARHGDIB","PHLDB1","GADD45B","LGALS2","ZNF771","FGF8","LTC4S","SLC7A5","CSPG4","GFPT2","PTPRZ1","ZNF323","NPM3","ALPL","RHPN1","TNFAIP3","IL36RN","CDH11","CRLF1","AGT","KLHL21","SLC8A1","MAP3K15","LY86","TMEM158","AIM2","PTX3","PPIC","NUP160","LMCD1","SHISA4","ASAH1","MYOF",,"SPIN4","RHOB","FOS","HIST1H2BG","PPIEL","GSTT2","PPAP2C","MLEC","UCHL1","GAS6","GPR52","ETV5","ETV5","ETV5","AMELY","BMP6","CRTAM","IFNA8","AMELY","ZNF529","PRKCDBP"
,"KRT72","GRAMD3","GABBR2","ARHGAP8","SSX2IP","C11orf9",,,"KLF4","BCL9","MKI67IP","BIRC5","HIST1H4H","PLAT","DLG4","ARMCX2","HLA-DMA","PHLDA2","TBX3","NIPAL3","PCSK1N","SERPINA3","SIPA1","CYP17A1","WASL","AREG","TCF3","TPPP","JPH1","MTMR9LP","CD109","SCARB1","FERMT2","LOXL1","FYN","CLDN16","LY96","HBEGF","ANKRD46","INPP5J","CLDN14","COPZ2","GDPD2","DHCR7","SATB1","ABP1","AQP3","UGT2B10","HIGD1C","MOSPD1","FJX1","FJX1","GFPT2","TFEC","CAMTA1","FKBP9","C16orf91","GPSM2","BUB1B","ZFP36L2","TPRA1","COL5A1","KAZN","COX10","FMOD","GREM2","GALNTL4","PTPRO","FLJ11827","CALML4","PTPRN","LRPAP1","CITED1","PPP2R2B","MSN","ADSL","HIST1H2AC",,"LOC644480","DUSP1","TYROBP","SLC12A6","CLSTN3","GALNT6","SACS","CEBPA","IMPACT","GGH","MYO1A","PEG3","PEG3","PEG3","CXCL2","NFE2","NDN","FRMD1","CXCL2","BANK1","CBS"
,"LMNB1","PTPRE","SERHL","E2F8","SDC2","FLJ39739",,,"POLD1","FDXR","ELL","TIMP1","DUSP1","METRNL","SIGLEC1","RUNX1T1","PPFIA4","FAH","IRS1","ENDOG","C8orf4","TGFB1I1","SLC22A6","INSL4","PDE5A","CXADR","FHDC1","FAM150B","SMYD5","LAMP3","LSM2","NDUFS2","ANKRD57","BACE2","HBEGF","AGAP2","HDAC9","GPR56","LIME1","HOXA4","ZNF423","ORM1","FGF19","GPR65","ATP2B2","WNT2","TMED3","B4GALNT2","CYP27A1","GATA6","EREG","PLAT","CD97","EPHA2","PRKAR2B","CCNA1","MRPL17","DOHH","GPSM2","CDR2","DNMT1","CENPH","CDC7","PPARA","C11orf88","PGM2L1","ZNF276","CROT","CXCL12","CXCL12","SPRY4","SNRNP40","SLC7A5","FZR1","CYP4B1","QARS","ST3GAL6",,"BACE2","WNT5A","TWF1","CLDN1","NPHP1","TFPI2","ARAF","UGDH","CHAC1","GLS","ATP8B3","RELN","RELN","RELN","HBEGF","ATP12A","A2M","ANGPTL4","HBEGF","LAPTM5","KRT81"
,"THOP1","TNFRSF21","KCNN4","LARP7","YTHDF3","TCP10",,,"CEBPD","FGD1","TMEM200A","SAMD11","METRNL","DHCR7","LTV1","ZNF451","SLC12A2","CEBPB","CDX2","CCDC81","ARHGAP22","MAPKBP1","EFNA1","PKD2L1","PGGT1B","G0S2","CD2BP2","SMAD6","ZNF215","FGF23","CFP","LONP1","ASPH","GALNT12","GNAI1","EGR2","PCSK1N","EYA3","FGF9","RGL1","PRAMEF12","PER3","GATA4","PYCR1","TMEM127","SERPING1","AKR1C2","FXYD3","SLC23A1","OTX2","VEGFA","LSAMP","LHFPL2","ADAM19","GLT8D2","MN1","MAP2K3","PLEKHF2","EPS8L1","PDE6A","CRIP2","GMNN","TMEM151B","PLA2G3","PCDH8","CPNE5","GJE1","MX1","SPP1","LILRB4","CCKAR","ATXN2","GLOD4","ABTB2","CCDC8","TXNIP","RCBTB2",,"NEO1","MTSS1","HIST1H2BC","TLR1","UGT1A10","RASIP1","CYBRD1","TIMM22","AXIN2","HEXB","HIST1H1D","CFHR2","CFHR2","CFHR2","BMP6","KRT34","EMP1","SLC6A11","BMP6","C11orf41","CHST11"
,"ZSWIM7","F2RL1","GALNT12","NVL","USP39","CASK",,,"HSF4","RPS6KA1","CBFB","POLR3K","FAM129A","SYT17","LOC646627","STON1","ZNF205","C3orf52","LBP","HSD3B1","DENND2A","ADAM28","STAG3","TUBB1","RNF25","CRIM1","CNOT3","ABCG2","C12orf66","RPRM","FMOD","PPIB","IL1R1","KRT81","ITGA6","GUCY1A3","H2BFS","CNIH3","COL13A1","ANXA13","LEPREL2","CD80","PCK1","DLEU1","SPOCK1","PRO2964","SERPINE2","APP","SGTB","DAB2","PDZD7","ARL4C","ACTA2","INHBA","EPHA4","C3orf27","TAX1BP3","GAS7","POLG2","SPEN","BTG2","MCM6","OAF","PANK1","LPIN3","SLC6A7","CNTNAP2","TFEC","SLAMF1","PTCH1","CTSG","MTHFR","SNRNP40","MAP3K4","CAMK4","THADA","FRY",,"VKORC1L1","IL1B","EGR1","HIST1H2BC","CCT8L2","PROCR","CDC42EP3","TP53BP1","STATH","HMMR","WNT1","LMO3","LMO3","LMO3","CD1A","SAMD14","CALB1","SLC18A1","CD1A","STRN","FBXO17"
