"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
,,"PLAT","MCM10","CALB2","ATXN1","IRS1","PLEKHB1","TM4SF1","AURKB","CDHR5","MOB1A","GRN","TCTA",,,"COG2","IFITM1","GATA1","ABLIM1","PAN2","KPNA4","CFH","PDLIM5","IL13RA1","ADAM10","SLC18A1","SPRR2A","HSD17B1","SQLE","AK4","SLC4A7","TWF1","COLQ","TTR","CASP9","PARK2","HBA2","C4BPA","CST1","MRPL44","GALNT6","ST6GALNAC6","POSTN","CRYBA1","SPAG4","C5AR1","CXCL6","CA9","KCNC4","LAT","AXL","ZSWIM6","LOC648470","LIF","E2F7","C16orf74","PRR7","IFI6","MAMDC4","CHRNB1","LILRB3","DYNLL1","SLC25A11","COL9A3","PLAGL1","IRF7","CAPN2","DNAJC12","OSBPL1A","CYP27A1","CYP2B6","CDC45","ERMAP","ZNF219","ESM1","FXYD1","GMIP","SMAD9","PDE6A","RSAD2","SLC43A1","CCNA1","UPK1B","MUC5AC","TSKU","C17orf48","SQRDL","NR4A2","GNA14","C15orf29","GPA33","PQLC2","HOMER1","TFEB","HTRA1","LTBP3","CSNK1G1","MSRB2","SLC22A23","MX1","CEBPG","C16orf80","COL16A1","TSPAN1","NRP2","IFI6","HAS2","SLC5A4","BCL2L14","CHST1","ZFP112","UPF2","MAPK8IP1","LXN","PPP1R42","TNNC2","ARG2","PLEKHH2","PCOLCE","CCRN4L","CTDSP1","GBE1","MCM7","C9orf72","SIM2","GRIN2C","ITGBL1","KCNIP4","LCORL","LGR4","LY96","NPY5R","BMP2","AGBL2","MPP6","CRYGB","MFSD7","SLC3A2","SERINC1","SLC9A2","SDC3","CHRNG","ETS2","SLC9A1","COX8A","FUT6","FRAT2","TES","PECAM1",,"TNFSF10","IL22RA2","CNIH3","ABLIM1","DNAJC15","C5AR1","CORO2B","GATA1","CYP2C9","TMEM135","CCND2","IL1R1","RAD51C","DDR1","ATP5G3","SDPR","C9orf38","MYH13","HYAL4","HPN","HYAL4","HPN","HYAL4","HPN","CXCL14","STC1","NFATC4","USH2A","IL26","HPCAL4","COL2A1","ST3GAL6","CXCL14","STC1","CD48","MYO7B","HNF1B","SLC17A9"
,,"CCL2","BRCA2","EFNB2","EXT1","CHD1","PCDH8","LIN9","ZNF281","MIIP","SACM1L","PLEKHO2","SCN2B",,,"PBX2","SMTN","CHRM1","CGREF1","ANKRD33B","PLAUR","BAI2","TMEM130","EFEMP1","WFDC12","ADHFE1","SPRR1A","DUSP1","DUOXA1","CCDC9","PHF3","SAT1","PPP6R2","ACAD8","PDE4D","FAM46A","CD9","TNNT2","RASGRP1","TPD52","PITX1","CLEC4D","AP1G2","GABRB2","SOX21","C1orf21","TNNI3K","FTCD","GADD45B","HSPA12A","MYCL1","H2AFY","CAMKMT","PRO2852","SNX10","GRHL1","C16orf7","ZNF721","FUT5","CARD10","ITGB2","FSTL1","WBP1","PMAIP1","SORL1","SATB2","ENO2","IRX5","C6orf145","SHANK1","SH2D2A","EED","C1orf63","HOXD11","GFPT2","ADRB3","HBEGF","SMARCD3","SCNN1B","BMPR1B","WDR25","CAMKV","PDGFRL","ADAM11","RETSAT","PLCL1","PSPH","CYP20A1","C14orf56","WDR91","GRIN2D","ZNF423","SIL1","TTC27","LGMN","COL16A1","METTL20","RASGRP2","WLS","PRPH","GDF15","IDH1","TNFSF9","SOCS2","IL7R","PDE5A","COL16A1","HMGCS1","NR2F1","CD82","RFPL1","DENND2D","ATP5J2","GLIPR2","RDH12","HRASLS","MEF2C","ECE1","GADD45A","PPBP","ARTN","LPAR3","H2AFV","ZDHHC20","NSMCE1","NRARP","LGALS3","BCL11A","ABHD8","ESPL1","RGL1","SELP","LILRB4","RNASE2","KIF21B","IL19","KRT6B","MOGS","MRPS11","LIMK1","FDX1","SLC5A3","CST6","HEY1","PTPMT1","ITGAE","SPG20","FCGR2A","IL8",,"CHPT1","TET1","SDC4","TMEM55A","NBEAL1","MILR1","NAT2","ASIP","PYY2","FLRT3","ITCH","NUP62CL","CDK1","RNMT","NR1I2","SERPINE1","AGSK1","GH1","CCR8","PCDH8","CCR8","PCDH8","CCR8","PCDH8","ALOX12B","CRCT1","ADAMTS5","GULP1","NGF","CAB39L","FCGR3B","LOC100289255","ALOX12B","CRCT1","NPHS1","LOC645340","LGR5","FGF3"
,,"CCNG2","PRM1","ZNF43","DRAM1","JAK2","UPK3B","ASPH","IRF5","HTR3A","CCND2","CYP2A7","SST",,,"MPI","BCL9","KLF9","MC2R","TXNIP","SNAI1","ACVRL1","TRPC3","DNAJA3","PDK3","ZNF213","KCNE3","CSDC2","MTHFD1","AOC4","AGL","TRMU","DBH","CNPY3","KLRC3","ZNF711","DUSP4","PTGER2","PAGE4","FGF9","VIPR2","LAMA1","GLI1","ANGPT4","XCL1","SIL1","CYP2C8","STAG3","PPAN","GLDC","TUBA4A","RAP1A","ST6GALNAC2","TGM2","SAC3D1","IL6","PLA2G4A","PC","LOC283854","DES","IFI44L","ITSN1","HLA-DRB5","PSMB9","RCAN1","WISP2","ST13","ALCAM","C1GALT1","HOXD11","ERMAP","C19orf21","KLHL28","CD320","SETBP1","C16orf3","LYPD1","KIR3DL3","SLC34A1","CD80","HAAO","SACS","PPP2R3B","GAS2","CD36","DACH1","IFI30","FOXH1","NNAT","MAGEB3","IFNA10","C11orf24","DLL1","RIOK2","CYP26A1","CALD1","SYT3","C16orf74","KIF21A","LOC100288594","RBM17","FLJ13197","CSPG4","TTC33","TGFB2","LY6E","TEK","NEB","SSBP2","LZTFL1","DGKI","FRMD4B","PTS","TRPC3","POLG2","CPLX2","RS1","HIST3H2BA","MLF1","RB1","PALMD","APTX","E2F1","GAS5","CRB3","IMPA2","CAPS2","CAMK2B","C11orf9","SIRT4","GPR137B","DNAI2","HEG1","GOLPH3L","KCNA3","PCP4","LOC646621","SLC25A44","CORO2B","CCKAR","ATAD2B","VAV3","LIF","GUCY2C","CXorf56","SNX10","SPRR1A","SLC2A5","IFT57",,"OGDHL","PLXND1","EGR3","SYDE2","DYX1C1","EGR1","EPYC","GNGT2","CNR2","GK3P","DSN1","LINC00342","TRIB3","CNOT4","AIFM2","SGK1","LRRC37A","ZNF821","CGREF1","HTR7","CGREF1","HTR7","CGREF1","HTR7","TSHB","LIF","EDIL3","SMPX","C8orf59","GABRB1","EMID1","ADAM8","TSHB","LIF","SOD3","CRISP1","DPP4","PMEPA1"
,,"SERTAD1","DCTPP1","SPTBN1","CXADR","TCN1","TPK1","UBTF","LBR","DLX5","VPS4B","TACR1","KSR1",,,"CAPG","BATF","WWOX","RXRA","STX16","REPS2","PYROXD2","NUP88","RAMP1","CXCL16","ITIH5","LGMN","KCNC1","IDH3A","S100A4","TWF1","SMC4","UBE2L6","MZT2A","GADD45G",,"DBNDD1","COL11A1","PIR","PLN","LOC647835","ADAM12","C11orf9","GPR65","CD36","EPHA7","LALBA","HIST1H4L","GNRH1","PDE4B","KRT15","ZNF236","NDRG4","DCC","CDKN1C","NGFR","TMEM97","SOAT1","ETV7","MGST2","CD9","CLK1","TYMP","DLC1","UST","ASS1","PTPRE","GPER","TEAD1","EPHX2","ANKRD46","DDX31","ANXA10","SLC7A2","MALL","EPPK1","KRT15","ZRSR1","C2orf55","GNRH2","KLK8","C21orf96","GNG7","CCL27","YJEFN3","MARCH8","KLHL7","DDX31","RHBDF1","NR5A1","MYOZ3","PPP2R3A","NANOS1","GLI1","DPP4","NUPR1","SASH1","BGN","EPB41","FOXA1","CFTR","C1orf54","CXCL1","IL1R1","LCP1","DPYD","MEOX1","PIK3C2G","FGF1","CST1","PROC","MMP9","ANKRD16","BACH2","RPE65","DFNA5","TNFAIP3","C19orf39","ST3GAL1","FURIN","HAT1","IARS","HMGN2","PRPF38B","TRAF4","NMB","PCDH17","GABRD","FAM89A","TLN2","TNFAIP2","MAP2K6","CDH3","HIST1H3C","HEG1","LRP5L","PAQR6","IRF2","C4orf6","MSX1","FKBP2","ANGPTL4","PHLDB1","CACNB4","FAM35A","PDHX","LAP3","ATF5","RNF11",,"PAWR","PPAPDC2","PTX3","SH3D19","NOV","MIR22HG","ST20","C8B","RDH16","SPAG4","DCAF16","TMEM40","ABCF1","BAMBI","ALDH3A2","SH2D4A","LOC389634","C8A","SCGB1A1","CHGB","SCGB1A1","CHGB","SCGB1A1","CHGB","NCR3","NDOR1","NPR1","A2M","LMAN1L","ERC2","OLFML2A","CLSTN3","NCR3","NDOR1","NR0B2","OPLAH","SMAD4","KRT13"
,,"F3","PACS1","POLI","CLDN1","HAUS3","ST6GALNAC2","PIGT","HMGCL","C7orf74","BOK","SF3A2","CEBPA",,,"ZNF35","GLI1","NCKAP1L","DVL1","HEBP2","TRNP1","NTN4","EML1","IFRD2","KCNH3","RXRB","PFKP","ISL1","STEAP1","ADH1B","ARMC6","AMD1","ENPP2","HLX","LY6G6D",,"DNAJC3","SIK2","IFNA21","DGKD","GMPPB","TGFBR1","GALNT6","WNT2","AKAP5","ALOX5","SLC38A3","CAPN9","ZFP36","PMEL","AIM1",,"LOC100288594","FBXL19","RAB9B","GPR110","FLJ41649","ABHD3","SMO","SLC9A3R2","LCP1","AKT3","ATP1A1","IGF1R","PIGH","ARMCX1","SH3GLB2","INPP5F","FCHSD2","GALK1","AATK","ARRB2","HIST1H2BG","LOC730101","DKK2","CLDN14","SPIB","NDRG2","YAP1","GPR35","APBB1","GPR19","SLC9A5","SIK1","UGT2A3","RCOR3","TIMM44","HIST1H4E","CTNNBIP1","C11orf61","CLPB","ERAS","CYP2S1","INA","ESX1","CYR61","TTPA","KRT17","APOB","DPEP1","ZNRF4","METTL7A","SLC7A11","GPX3","SLCO4A1","DUSP2","LEPREL2","P2RY14","HOXC8","CLSTN3","ODZ3","CLTC","EIF4A3","DDX3Y","ARHGAP10","INPPL1","PLA2R1","DNAJC9","PPARA","UROS","DSN1","LACTB2","CD81","KLK7","RUVBL2","IL17RD","KAZALD1","GABRG2","DUSP19","TK1","ITGAX","MOSC2","CCL21","EFNA4","LGALSL","DMRT1","ARHGAP32","MFSD5","GNMT","GNL3L","NDN","CXADR","IL11","MYO1B","SNX7","MYD88","ZBED1","MYO1B","FAS",,"NLRC3","UCA1","RGS2","CCDC26","MIR21","IL1A","AATK","FCRL2","MEX3D","SMYD3","PPCS","STEAP1","XBP1","PTK2","ZNF486","SHCBP1","61E3.4","DOT1L","PSORS1C1","CXCL5","PSORS1C1","CXCL5","PSORS1C1","CXCL5","TTLL1","IFNA8","GRIP2","MYCN","HINFP","PCDH9","WNT16","C17orf53","TTLL1","IFNA8","MAGIX","KRT36","FPGT","WASF3"
,,"TRAF3IP2","RELL1","XK","PLAGL1","AGL","ASPH","EOMES","ANKRD13C","PITX3","LEFTY1","LHB","AMOT",,,"KRT17","CRIP1","ITGB6","PRRC2A","AMT","HLX","LOC100289610","PRIM1","BLVRB","CTNS","POLI","ADORA2B","CIRBP","MS4A7","ENPP2","BPGM","SULT1B1","TNFSF12",,"TP53I3",,"FLVCR2","CELF2","KIF20A","ERO1L","NES","GFAP","FGF18","PCDHB3","NDRG4","EYA1","TNR","F13B","EGR3","CRYAB","LPCAT4",,"SCAMP4","ZNF782","EPHX4","C1orf159","MPHOSPH10","KCNMB3","NAT8L","HOXB9","MT3","FRY","COX8A","JAK2","SOAT1","USP18","LRP8","PXDN","OPTN","RBPJL","PSG7","SEMA3B","MADCAM1","SKP2","TSPAN7","PGAP1","SEMA3E","CRYM","BMP7","NYX","CNTN6","RASGRF1","ODAM","KANK2","GLI2","CD1C","SLC39A14","ATP11B","KCNJ3","PPCDC","CUBN","AMH","KANK3","NAA10","PRSS12","INHBA","RYR3","S100A6","OCLN","CNTNAP2","CA3","MCTS1","IL7R","MVP","PLAT","EEF1A2","GDF5","HPCAL4","SEPP1","ITGA9","BARX2","PHIP","CKMT2","PLOD2","WDR31","CHRNA3","KCNE2","INPPL1","MKNK1","TMEM140","ARHGEF40","BCCIP","NXT1","BNIP3","PARS2","RNF24","CCDC28B","CPNE4","RNF122","MANEA","CAPG","ATP6V0A4","REST","PDE6B","RRP7B","PHKG1","KCNC3","ZNF193","KIR3DL2","ACADL","NRAS","AP1AR","CDKN2AIP","C6orf58",,"C4orf43","ASS1","MPI","PIK3R3",,"PROK2","CCR10","C7orf74","ACAP1","FNBP1L","DYX1C1","ADRA2C","MYOZ1","HDAC9","ISG20","ALDH9A1","C3orf64","GTF2A2","KIAA0907","ZNF326","SLIT2","DGKE","KITLG","GADD45G","FABP3","GADD45G","FABP3","GADD45G","FABP3","PIK3C2B","SNAP25","P2RX7","SYP","CXCL11","TCEAL2","LOC57399","CECR1","PIK3C2B","SNAP25","ITGB1BP2","FOXH1","CTSH","STRA6"
,,"CYP1B1","FAM60A","HIST1H4H","GAL","ZNF43","ITGB6","GBP7","VPRBP","VIPR2","SYT4","CRY2","NR2F6",,,"DRD4","FOXK2","GYS1","GP2","ERMAP","BCAR1","C10orf54","TUBG1","SLC18A1","AK4","EFEMP2","PTPN14","KRT5","IFI35","ELAVL3","ZC3H14","ADAM9","MGAT5",,,,"SASH3","NPIP","B3GALT2","KCND2","SMARCAL1","SYT8","CYP4A22","ADCY10","SLC6A1","ANO2","CTLA4","PLA2G10","PAFAH1B2","GPR137B","IFI27",,"DTNBP1","C15orf27","CBX2","PRSS33","FUT5","ACTL6A","SRMS","SLC44A4","GOT1","MYO5B","CYBA","ATF3","C6orf97","APBB2","IGF2BP2","CPE","CDC42EP3","PACSIN3","USP46","TNS4","SMR3A","TPD52L1","PLCB1","EIF2C2","SMPD2","KIF22","HOXC4","SMO","HIST1H3E","SCGB1A1","TRAF1","TXNRD2","RNASE1","RNF44","LARS2","HOXC5","KLHL28","TCL1B","CDC45","B3GALT6","MKL2","SLC1A5","SEPP1","FHL2","SMPD2","ZNF423","GPX3","TRIM17","TTLL2","GTF2A1L","ZC3H12A","IFITM1","TNFAIP6","ACCN1","FURIN","PAH","AZU1","CA4","RNF39","TRIM47","C16orf53","CHRNA3","IER3","FAM134C","RFX2","MPP6","FAIM","NFIL3","MDM2","S100A16","TAGLN","PCDHB17","POLR2I","ELF5","LBP","ITPKA","C20orf57","MYOC","MPL","SEMA6D","ZBTB32","ABCD2","HK2","TIMP3","PAIP2B","LTBP1","HEBP2","COL1A2","TRAF5","BIRC3","TAGLN",,,"CDC6","ATF3","TBL1XR1","FBXL5",,"FLT3","F13A1","HAVCR2","MGC2848","HIST1H2AG","MIR21","GNAZ","EFNA3","LSM14B","EIF4B","DCP2","ATP11B","HSPA1A","CHMP6","ESR2","STMN1","SCAF4","EGR4","NCR3","CGA","NCR3",,"NCR3","CGA","TRPM2","TNFSF15","GP1BB","LIF","ACE","GPR37","NYNRIN","AURKC","TRPM2","TNFSF15","OXT","ANGPTL4","LIMCH1","COL9A3"
,,"ANGPTL4","ELAVL1","CELSR2","ANKRD57","ATF1","MAOA","MERTK","C13orf15","FAM82A2","SLC29A1","KDM4B","HAB1",,,"MS4A1","EGR3","USP9X","EIF5A","ELMOD2","FAM180A","TP53INP1","MMP3","FAM134C","SLC44A1","MEPE","FLT1","NCF4","EEF1E1","DHX34","TWISTNB","PCDH7","LCAT",,,,,"WT1","MRAS","KCTD12","LIPE","CLN3","SERPINF1","CES1P1","VAV2","HOXD13","AVPR2","IL7R","MS4A3","D4S234E","TMEM30B",,,"CDH15","LEF1","ATXN7L3","TOP1MT","ADH4","LOC642926","MMP10","GTF3A","NCF2","NDUFV1","SOX3","MBP","FTO","FADS2","ABAT","S100P","SERPINB3","COLEC11","FASN","NMT2","HELLS","RASL12","PKP1","ACTL8","HMGB3P30","ABCD1","HIST1H4B","VAV1","SLC35D1","SERPIND1","ANKS1A","LPO","ADORA2A","GAS2L1","CORO2B","UPK2","LOC653326","MCTP2","MAD1L1","AUP1","GSPT2","SEL1L3","IGFBP3","CELSR3","TFEB","ZDHHC9","LGR5","THAP3","BMI1","CHST11","BST2","SLC19A1","C9orf46","PLAT","HLA-DRB1","FNBP1L","AMOTL2","ANXA2P3","OFD1","SNX8","JUNB","BUB1B","KIF5C","CCDC64","ORAI1","SNTA1","GJB2","AHCY","SCD","COL1A1","RB1","C17orf90","ASNS","UGT1A1","COL19A1","FAM57A","CYBRD1","ADAMTS6","PTGDS","RPP25","CEL","KIF13A","CNTNAP3B","LOC96610","PRSS16","ACOT11","GK","C7orf54","IL36G","CCDC93",,,"RIMS2","FBXO46","TEX264","IER5",,"LOC645919","FAM173A","IL1A","C1orf115","PRTFDC1","RGS1","DRD5","GPR44","KIF21B","CLDN5","KIF14","STX12","MAPK9","SDHB","UBE2D1","TGFB2","GABBR1","TAF7L","GRM2","TAPT1",,,"GRM2","TAPT1","MMP28","ITGA2","KCNA3","KLK6","NR1I3","SIGLEC15","CLCA4","SLCO5A1","MMP28","ITGA2","TTC21B","LPPR1","CFTR","EDAR"
,,"RGS2","INO80E","RNF43","MGAT4A","EIF2S3","BACE2","MAP3K12","AFF4","SLC25A47","CD80","SMAD9","HOXD10",,,"GYPA","MARK3","CAPG","SPOCK2","CYP2R1","YOD1","EXOC6","KRT25","TMEM97","ATF3","SULT1E1","C1orf9","CLPX","HIVEP3","CBFA2T3","ABCE1","YES1","HTT",,,,,"SLC1A3","ANKRD11","PTER","POLD1","DNASE1L3","CXCL1","ACVRL1","PLTP","EVC","MAGEC2","SLC9A5","ATF3","GRAMD1B","GSTT1",,,"MARK2","HRK","TGM2","TAF5","C11orf72","LYZL4","GABRB1","SLC6A6","RAP2A","ACO2","CASP8","ACOX1","ARMCX3","KRT7","BCL2","ARHGEF3","ATP2A3","KRI1","KCNS1","BTBD3","KLHL11","PCBP3","CCNE1","SRPK3","CTRC","CD83","C14orf93","LTC4S","KIAA1009","RND2","CABYR","GSTA4","ZNF277","CEBPB","ANXA10","COL13A1","SLC38A3","IGKV3D-15","QSER1","GADD45G","E2F8","APOB","SLC5A5","WT1","CLTB","TMPRSS2","SERPINI2","MLC1","SECTM1","NRP2","PID1","STX1A","MAF","ARL4C","FGR","C5orf13","GZMB","ANGPTL7","PRRC2C","VPS28","ATP8B2","RGR","C19orf39","SNTB2","KIF5C","CALU","C5orf62","DUOXA1","PTPRE","SYCE2","DDX3X","RGL3","ADCYAP1R1","DYSF","EPHA7","CLN8","FOXRED2","TRIM22","TCEAL4","CAPN10","CD34","TMEM158","HYAL3","LAG3","DYRK2","ELP4","SP140","ATF3","CYP2E1","EPHA4",,,"TXNDC9","MRPS30","CPNE3","CTSL1",,"SERPINB2","DEFA6","FOXQ1","C10orf95","DUSP8","GPR137B","TRHDE","SPTA1","PGLYRP4","IFI44L","C1D","EML1",,,"C1S","TGM2","CEP152","L1TD1","HAAO","SLC25A31",,,"HAAO","SLC25A31","PDE3A","DKFZp566H0824","TSPAN12","SOX17","FOLR2","GRM5","RAB40AL","CLEC4A","PDE3A","DKFZp566H0824","IGLV2-14","LILRA6","SLC6A20","SPRR2B"
,,"SLC1A1","TINF2","SGCB","PCDH9","HSPA4L","NPC2","IL1R1","CLIP4","PEMT","IDH2","ACTR1B","VTN",,,"WTAP","GCHFR","ROS1","RHO","ZNF585B","MESDC1","NYNRIN","DCTPP1","PUS7","PLAT","ESR2","CLMN","CXCL1","UBE2C","PTPRU","DNAJB9","HMMR","TLL2",,,,,"CD302","SLC13A3","LIMCH1","FOXM1","SYNGR4","FPR2","SRD5A2","ME3","PNMA3","LGSN","GDF5","FHL5","BTG2","KRT18",,,"C20orf106","HEY1","MMP3","SLC25A22","CXCL5","PRR3","SLC1A6","OLIG1","FUT8","CNDP2","USP18","MAP3K5","OAS3","PTMS","PDGFRL","TFPI2","CRISP1","CXCL10","ACY1","C10orf10","SLC8A1","DUSP3","POLA2","CCNT1","NPY1R","HNF1B","CYSLTR1","ZNF682","TAS2R4","C8orf17","ABCA4","SP6","CCDC28A","SLC39A4","CCDC88C","NID2","DHX57","LGALS7","ZNF48","DSCAM","DLC1","PODXL","INHBB","CCDC164","BRP44L","CA4","DLGAP2","BDKRB2","TCEAL2","ATP13A2","TRAF3IP2","MMP3","TRAPPC6A","PLAUR","ADCYAP1R1","CLPS","GPR32","KLHL26","FUCA1","DEDD","FKBP5","KRT18","CCDC23","TNIP2","GZMM","TFF3","IGFBP3","RFC3","CAP1","HAUS8","ERAP1","SNRPB","FGD6","COL8A1","MYT1L","EPN2","BCAT1","FBN2","KCNQ1","TNFSF11","SPATA1","GPT","KIAA1462","IL18RAP","SCO2","CFDP1","IGHM","NEU3","EVI2A","CYTH1",,,"WDYHV1","EIF3K","GINS4","VCAN",,"FAM117B","SEMA3C","PPBP","ASNS","GPR137C","ARL5B","GDF10","GRP","KLK2","AKT3","ERLIN2","SNX24",,,"CXCL12","THBS1","MTRF1L","PTTG2","DFNB31","KCNK10",,,"DFNB31","KCNK10","DEFB1","CDSN","ADAMTS20","C9orf38","ITIH5","CHGA","RHCG","LOC157627","DEFB1","CDSN","FLRT1","TWIST1","SH3GL2","SLC26A4"
