"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
"PPAPDC2","EZH2","PLAC1","DUSP6","DCPS","AURKA","KCNC4","CCL23","ZBTB12","STRA13","GDE1","DHCR24","KLRG1","ITGB4","ITGA9","GAD1","PITX1","EFHD1","MAPRE2","DTX2","EML6","ERVMER34-1","HSAJ2425","SDAD1","BMP7","SLC2A10","KCTD12","BHMT2","GDF5","YOD1","FAM182B","EIF4EBP1","ELAVL4","PHOX2B","TAX1BP3","SCAP","LOXL2","MGC50722","CISH","PIM1","AIM2","ELOVL2","BHLHE40","FAM167A","NDUFS8","ABCA1","THBD","PPP1R17","LRRC37A","VCAN","C11orf57","COPB2","MMP11","MMP11","MMP11","ADAM8","HAS2","ZNF536","POLM","ADAM8","CRISP2","PDLIM4"
"FEM1A","SRSF4","RND1","ALDH4A1","RC3H2","METTL11A","FPGS","HSPG2","PHLPP2","PA2G4","ANXA13","FDPS","RPGR","SDC4","BAG3","ITGA9","C20orf195","UPP1","ZNF358","LOC653605","FGFR3","C10orf2","MATK","UFM1","OPN3","CXADR","COTL1","SERPINA3","ATF3","CLEC2B","MCTP1","PDXK","LAMC3","LOXL2","HKDC1","DLL3","OPN3","C20orf30","LIF","SLC7A5","SPG20","DEGS1","SMOX","ZNHIT6","CEBPD","CXCL3","HIST2H2BE","LY96","NMUR1","CXCL3","GPR107","PIK3C2B","GLRX","GLRX","GLRX","G0S2","PDE2A","SV2B","FNDC8","G0S2","RFPL3-AS1","HBA2"
"LMO7","DLX1","CEACAM6","KRT7","SOX10","RLIM","CTSD","PTPN3","EIF4A3","MT1G","PYGL","LGALS3","N4BP2L2","ETFB","CA2","SLC7A8","FOXM1","SULT1B1","TEN1","CASP4","GCH1","PLD6","CCDC19","FP588","PCP4","TNFRSF21","ALPP","GMIP","SCG5","KCTD12","CACNA2D3","TUBB2A","HCG9","P4HA1","ENPEP","VEGFB","FRZB","FN3KRP","LGALSL","LIF","CNNM4","CDK6","YIPF5","NRAS","NONO","MIR22HG","TMEM71","PKIB","LPL","TMEM158","ICT1","MYLK","RBP4","RBP4","RBP4","INHBA","TAAR5","PLP1","B3GNTL1","INHBA","PIGR","GZMB"
"C7orf50","PPM1M","INHBA","CXCR4","ZZZ3","DNM1L","SSH1","PPP5C","DNAJA1","FANCA","KCNK5","OAS2","GPR37","KIAA1462","FAM3C","ARHGEF5","LHX2","DGKZ","C8G","LOC126536","FGF9","CHKA","GINS2","ETV5","DRAM1","PPARG","CGA","BIRC3","OBSCN","FLVCR2","GRIN2C","ELOVL6","DNAL4","CXCL12","PARM1","PRKACB","PTH1R","MON1A","PIM1","TNFRSF12A","SLC29A2","ETFB","GADD45B","KCNK12","NCAPD2","GNG11","MILR1","CLEC2B","NDOR1","CSF3","PID1","RBM15B","ITGB2","ITGB2","ITGB2","RETN","PRDM1","PMP2","SDCCAG8","RETN","GSTCD","VIM"
"ZC3H18","SLC20A1","IGF2BP2","BCL3","SRSF10","CASP4","HBP1","IFITM1","RNPS1","PAICS","HIST1H4H","HMGCS1","SACS","IRF9","DDAH1","DUSP6","MMP1","TRPM2","MST1R","RPL27A","CMPK2","CD3EAP","KCNQ1DN","WIPI1","ATP6V0A4","LHFP","TNFAIP8","ANKRD2","GPR37","ALDH1A3","ALX4","LDLR","PHLDB1","GADD45B","LGALS2","ZNF771","FGF8","NPM3","TMEM158","AIM2","PTX3","NUP160","LMCD1","SHISA4","ASAH1","RHOB","FOS","HIST1H2BG","PPIEL","GSTT2","PPAP2C","MLEC","ETV5","ETV5","ETV5","AMELY","BMP6","CRTAM","IFNA8","AMELY","ZNF529","PRKCDBP"
,"KRT72","GRAMD3","GABBR2","ARHGAP8","SSX2IP","C11orf9","BCL9","MKI67IP","BIRC5","PLAT","DLG4","ARMCX2","HLA-DMA","PHLDA2","TBX3","NIPAL3","PCSK1N","SERPINA3","TCF3","TPPP","JPH1","MTMR9LP","SCARB1","FERMT2","LOXL1","FYN","CLDN16","LY96","HBEGF","ANKRD46","DHCR7","ABP1","AQP3","UGT2B10","HIGD1C","MOSPD1","C16orf91","FLJ11827","CALML4","PTPRN","CITED1","PPP2R2B","MSN","ADSL","DUSP1","TYROBP","SLC12A6","CLSTN3","GALNT6","SACS","CEBPA","PEG3","PEG3","PEG3","CXCL2","NFE2","NDN","FRMD1","CXCL2","BANK1","CBS"
,"LMNB1","PTPRE","SERHL","E2F8","SDC2","FLJ39739","FDXR","ELL","TIMP1","METRNL","SIGLEC1","RUNX1T1","PPFIA4","FAH","IRS1","ENDOG","C8orf4","TGFB1I1","FHDC1","FAM150B","SMYD5","LAMP3","NDUFS2","ANKRD57","BACE2","HBEGF","AGAP2","HDAC9","GPR56","LIME1","GPR65","WNT2","TMED3","B4GALNT2","CYP27A1","GATA6","MRPL17","CXCL12","CXCL12","SPRY4","SLC7A5","FZR1","CYP4B1","QARS","WNT5A","TWF1","CLDN1","NPHP1","TFPI2","ARAF","UGDH","RELN","RELN","RELN","HBEGF","ATP12A","A2M","ANGPTL4","HBEGF","LAPTM5","KRT81"
,"THOP1","TNFRSF21","KCNN4","LARP7","YTHDF3","TCP10","FGD1","TMEM200A","SAMD11","DHCR7","LTV1","ZNF451","SLC12A2","CEBPB","CDX2","CCDC81","ARHGAP22","MAPKBP1","CD2BP2","SMAD6","ZNF215","FGF23","LONP1","ASPH","GALNT12","GNAI1","EGR2","PCSK1N","EYA3","FGF9","PYCR1","SERPING1","AKR1C2","FXYD3","SLC23A1","OTX2","MAP2K3","SPP1","LILRB4","CCKAR","GLOD4","ABTB2","CCDC8","TXNIP","MTSS1","HIST1H2BC","TLR1","UGT1A10","RASIP1","CYBRD1","TIMM22","CFHR2","CFHR2","CFHR2","BMP6","KRT34","EMP1","SLC6A11","BMP6","C11orf41","CHST11"
,"ZSWIM7","F2RL1","GALNT12","NVL","USP39","CASK","RPS6KA1","CBFB","POLR3K","SYT17","LOC646627","STON1","ZNF205","C3orf52","LBP","HSD3B1","DENND2A","ADAM28","CNOT3","ABCG2","C12orf66","RPRM","PPIB","IL1R1","KRT81","ITGA6","GUCY1A3","H2BFS","CNIH3","COL13A1","DLEU1","PRO2964","SERPINE2","APP","SGTB","DAB2","TAX1BP3","SLAMF1","PTCH1","CTSG","SNRNP40","MAP3K4","CAMK4","THADA","IL1B","EGR1","HIST1H2BC","CCT8L2","PROCR","CDC42EP3","TP53BP1","LMO3","LMO3","LMO3","CD1A","SAMD14","CALB1","SLC18A1","CD1A","STRN","FBXO17"
,"GRWD1","IRF1","SERHL2","LUC7L3","GNL3","MATN1","KIF22","REST","ITGA6","PDK3","CDC20","MMRN1","THY1","GAD1","EEF1A2","PAX1","NNAT","CKAP4","IGSF8","PDXP","EXOSC5","WTIP","CHST5","ABCC3","PKIA","OPN3","RGS6","SLC12A8","GPM6B","REST","TBRG4","BTN3A1","POLH","GATA6","MYB","NENF","SSSCA1","C1orf20","TNFSF11","LAMP3","KLF10","HRH1","MOCS2","SPRR1B","GPR137B","TLR1","MMP1","GABRA6","S100P","OSTM1","UBE2J1","HEY1","HEY1","HEY1","GFI1","AMELY","TRIM9","TMEM176B","GFI1","APOH","DBN1"
,"HSPBP1","CEBPD","AKR1B10","NAP1L1","COPB1","CDK10","GPT","SLC30A1","IGFBP3","GCH1","DHCR7","RECQL","PSMB8","UBE2N","SERPINI1","C1orf115","ITGA8","LCN2","DACH1","ZNF703","FLJ10661","LOC254896","CD74","SEPT10","TGFBI","LEPREL1","AZU1","FPR3","C7orf43","PCBP3","KIAA0020","RAI1","PCMTD2","TMPRSS2","AZI1","HBG2","ISOC2","CD3EAP","CAPN10","EGR2","ZNF460","SNAI1","CDIPT","CA2","CCL4","RGS1","TFPI2","TNNT2","CLPB","ITPK1","MTFR1","TERT","TERT","TERT","KCNK15","CLPS","SPARCL1","DEFA5","KCNK15","DHRS9","SLC43A3"
,"NAB1","MPZL2","GUCY1A3","RBM39","PTPRCAP","GABRB2","ANPEP","FJX1","FABP5","IFIT1","PREP","IRAK1BP1","RFPL1","COTL1","IHH","GSTT2","TNFSF18","VAX2","WIPI1","BAI2","RPP40","LOC100506127","UPP1","DAB2","EGLN3","STS","NR0B2","PLAG1","SLC14A1","DCP2","IL7R","NTN3","METTL20","PRG1","NARF","SOAT2","FABP7","RGS16","ZNF343","PRSS2","RAB35","CDK17","CDK14","ESYT1","FAM70A","CFL2","DUSP5","RAB30","INPP4B","FAM57A","UBQLN2","LILRA6","LILRA6","LILRA6","HPN","NPAS1","GPM6A","ETS1","HPN","AHSG","C13orf15"
,"CDK5R1","ETS2","PTPRE","E2F3","ZKSCAN1","HERC3","MMP15","PHLDB1","TIMP3","FAM129A","MYO7B","ZNF117","CCDC57","HHEX","ABCB1","SCIN","ZNF639","POMC","TAGLN","PXMP2","GPD1L","SLC26A1","ARF1","RIN2","PPAP2A","CLDN1","LUZP4","ZBTB20","VWA5A","SLC13A3","PIR","CTSG","DPP7","ST5","TMEM121","GPRC5C","NUDCD2","C19orf28","SPP1","EHF","ZBTB24","BMPR2","FAM45A","EID1","ARL5B","IL1B","TDO2","OPRK1","CCNG2","RIN2","CDKN2A","DHRS9","DHRS9","DHRS9","PRDM1","PRRX1","XK","SCG5","PRDM1","CATR1","PAX6"
,"ACTN3","ELL2","ENO2","JMJD8","SIX4","ATF6","CCKAR","FAM107B","FARSB","MSMO1","IFIT2","RFK","LTB","SRPX","ERVMER34-1","HOXD10","MLF1IP","BTG4","SIRPA","CSPG5","PIM2","C1orf148","PRMT1","CLMN","EPHA2","SGPP1","GAD2","MCTP1","OTUB2","SPTB","RRP12","ATP1B2","ZBTB16","MTTP","C9","C10orf58","SRXN1","CLSTN3","ZBTB32","TEX13A","ZNF238","SPHK1","LLGL1","PERP","GPRIN3","HBEGF","DUSP1","FAM30A","KIF3A","FAM69A","CALM3","CD1A","CD1A","CD1A","ETS1","C3orf51","DYNC1I1","RETN","ETS1","CNGB3","NTSR1"
,"FNBP1","EGLN3","CADPS2","MPDZ","PRC1","GAS8","PCSK7","PTPN12","SHCBP1","CRLF1","SLC2A1","GGCX","AKR1B10","GCH1","HYAL3","VPREB3","TSPAN32","NTSR1","C4orf36","CHST7","N6AMT2","VPS37D","C21orf33","RAB40B","TBC1D8","NMU","AOC4","C2CD2","TMEM35","C10orf116","MAP1A","USP29","TMEM38A","SLCO2A1","CGNL1","CHST15","VPS72","TNFRSF12A","PIM2","PPAP2C","DDIT4","IL1RL1","GTPBP3","HSPD1","ADAMDEC1","ASB2","RHOB","HCN4","DSN1","TNS3","CNDP2","ADAM8","ADAM8","ADAM8","FNDC8","MMP9","PLCB1","NTM","FNDC8","GRK5","DKK4"
,"CYBA","S100A8","ST13","MCM6","YWHAE","ISG20L2","SYN1","MAPRE1","IL7R","GPD2","PTPN14","XIST","GUCY2D","FZD7","BMP4","TNFSF18","BAIAP3","STS","SLC35C2","SHANK3","SLC19A1","PDZD7","ATXN7L3B","NPC2","OPN3","RSAD2","COL10A1","DNAJC12","SERPINB2","PCSK1N","SLC6A9","ZNF639","DAB2","DAB2","C5orf25","RAI1","DPY30","CALML4","CD3EAP","CAPN10","SNRPD3","CYP26B1","DRAM2","PSME1","KITLG","LY96","GBP3","CYP3A7","PTPRG","LRP12","TMCO1","SIGLEC15","SIGLEC15","SIGLEC15","CXCL3","KCNC2","GABRA1","TNNT2","CXCL3","CX3CL1","ZAP70"
,"PTPRU","EGFR","PDE4B","TNNC2","NOP56","B3GNT6","SCAP","GNL2","EXOSC9","FAM3B","ABCA2","RASGRP3","NFKB2","AQP3","SORBS2","CACNA2D3","GPR63","FNTB","DKFZp434J0226","C12orf34","C19orf48","LGI4","SIL1","CYP1B1","ATXN1","C4orf19","PCDHB12","SLC35D2","NR0B2","OPA3","ASS1","ZSCAN12","PRSS8","CTSC","SUV39H2","GATA4","FOXD2","PIM2","BMP2","ABCC8","MMP17","CASP5","RFTN1","TCTN1","CDC37L1","ST20","CPEB4","HIST1H2BN","IFI44","CLCA2","SOX2","GLDC","GLDC","GLDC","GLRX","KRT33B","ADCY1","PRKG2","GLRX","TG","FOXG1"
,"PBX3","RCAN1","CRLF1","ICAM5","VPRBP","PHKA1","RCVRN","PPIF","TOMM34","KRT23","PPAN","PSPHP1","RHBDD3","C9orf3","HOXA1","RSPH6A","ENDOG","EDA","MTCH2","ZDHHC14","PES1","ITGB1BP3","NDRG2","KIN","LPHN2","MICAL2","SLCO4A1","OSTM1","AMMECR1","OR7E47P","GOT1","PTPRT","FXYD3","CA4","SSX2IP","FGB","MIRLET7BHG","SLC29A2","TMPRSS6","PIM1","ATXN2","FLT4","YWHAZ","SAA1","COL6A3","CD36","TMEM71","LENEP","GLRX","CCDC6","P4HTM","KIF5C","KIF5C","KIF5C","TERT","COL9A3","CHGB","ADAMTS3","TERT","CNTN5","OBSL1"
,"TPD52","LIF","IL8","DHFR","CDK1","KRT14","ABCA2","GTPBP4","MT1L","ADAM10","S100A14","THSD7A","IRF5","KCTD12","CRYM","KRT81","PLXNB3","THYN1","MYADM","PTCH1","NDUFAF4","PRADC1","COPE","MARCKS","GABBR2","KLF6","EYA3","CCK","RGS17","BFSP1","CALML4","NRXN2","CD82","FAM134B","TMEM42","PTPN13","DOM3Z","KCTD12","EVPL","DGKG","PSMC3","JUNB","SAMSN1","CTSC","AQP9","C4orf34","TP53INP1","MAGEA12","PID1","PEG10","CXCL2","PPBP","PPBP","PPBP","FAM155B","KCNA10","PLGLA","C3AR1","FAM155B","KRT8P12","LMO2"
,"ARHGEF1","LOXL2","PTMS","TNPO1","PCSK2","PTGDR","TRPC3","CRISPLD2","TUBA3C","TACSTD2","GSDMA","GLRB","APOBEC3G","WNT11","EFEMP1","ITGA8","G0S2","GDF15","TMEM63B","TMOD2","LEPREL4","SLC35F4","KIAA0040","SASH1","PDK4","UGT8","AMMECR1","AATK","AATK","ARL4C","DDIT3","CLCN2","ABCG1","TEX264","RPRD2","CAPN6","OSBPL10","MAFK","DGKG","ZIC4","KBTBD11","TBX3","RAB40C","GIN1","IL7R","HIST1H2AC","DOCK4","CLEC4A","CXCL1","ADCY9","SCP2","SCG3","SCG3","SCG3","RELN","ALPP","CRYAB","FABP3","RELN","NPY6R","FHL1"
,"MCM10","ATXN1","PLEKHB1","AURKB","MOB1A","TCTA","ABLIM1","KPNA4","PDLIM5","SPRR2A","SQLE","SLC4A7","COLQ","CASP9","HBA2","CST1","GALNT6","POSTN","LOC648470","E2F7","PRR7","MAMDC4","SLC25A11","PLAGL1","CAPN2","OSBPL1A","CYP2B6","ERMAP","ESM1","GMIP","SQRDL","GPA33","HOMER1","HTRA1","CSNK1G1","SLC22A23","MAPK8IP1","BMP2","MPP6","MFSD7","SDC3","ETS2","COX8A","FRAT2","CNIH3","DNAJC15","C5AR1","GATA1","TMEM135","IL1R1","DDR1","HPN","HPN","HPN","STC1","USH2A","HPCAL4","ST3GAL6","STC1","MYO7B","SLC17A9"
,"BRCA2","EXT1","PCDH8","ZNF281","SACM1L","SCN2B","CGREF1","PLAUR","TMEM130","SPRR1A","DUOXA1","PHF3","PPP6R2","PDE4D","CD9","RASGRP1","PITX1","AP1G2","CAMKMT","SNX10","C16orf7","FUT5","WBP1","SORL1","ENO2","C6orf145","SH2D2A","C1orf63","GFPT2","HBEGF","PSPH","GRIN2D","SIL1","LGMN","METTL20","WLS","ATP5J2","LILRB4","KIF21B","KRT6B","FDX1","CST6","PTPMT1","SPG20","SDC4","NBEAL1","MILR1","ASIP","FLRT3","NUP62CL","RNMT","PCDH8","PCDH8","PCDH8","CRCT1","GULP1","CAB39L","LOC100289255","CRCT1","LOC645340","FGF3"
,"PRM1","DRAM1","UPK3B","IRF5","CCND2","SST","MC2R","SNAI1","TRPC3","KCNE3","MTHFD1","AGL","DBH","KLRC3","DUSP4","PAGE4","VIPR2","GLI1","ST6GALNAC2","SAC3D1","PLA2G4A","LOC283854","HLA-DRB5","RCAN1","ST13","C1GALT1","ERMAP","KLHL28","SETBP1","LYPD1","IFI30","IFNA10","DLL1","CYP26A1","SYT3","KIF21A","PTS","HEG1","KCNA3","LOC646621","ATAD2B","LIF","CXorf56","SPRR1A","EGR3","DYX1C1","EGR1","GNGT2","GK3P","LINC00342","CNOT4","HTR7","HTR7","HTR7","LIF","SMPX","GABRB1","ADAM8","LIF","CRISP1","PMEPA1"
,"DCTPP1","CXADR","TPK1","LBR","VPS4B","KSR1","RXRA","REPS2","NUP88","LGMN","IDH3A","TWF1","UBE2L6","GADD45G","DBNDD1","PIR","LOC647835","C11orf9","NDRG4","CDKN1C","TMEM97","ETV7","TYMP","UST","PTPRE","TEAD1","ANKRD46","ANXA10","MALL","KRT15","KLHL7","MYOZ3","NANOS1","DPP4","SASH1","EPB41","ANKRD16","CDH3","HEG1","PAQR6","FKBP2","PHLDB1","FAM35A","LAP3","PTX3","NOV","MIR22HG","C8B","SPAG4","TMEM40","BAMBI","CHGB","CHGB","CHGB","NDOR1","A2M","ERC2","CLSTN3","NDOR1","OPLAH","KRT13"
,"PACS1","CLDN1","ST6GALNAC2","HMGCL","BOK","CEBPA","DVL1","TRNP1","EML1","PFKP","STEAP1","ARMC6","ENPP2","LY6G6D","DNAJC3","IFNA21","GMPPB","GALNT6","LOC100288594","RAB9B","FLJ41649","SMO","ATP1A1","PIGH","SH3GLB2","FCHSD2","AATK","HIST1H2BG","DKK2","SPIB","TIMM44","CLPB","CYP2S1","ESX1","TTPA","APOB","EIF4A3","CCL21","LGALSL","ARHGAP32","NDN","IL11","SNX7","ZBED1","RGS2","MIR21","IL1A","FCRL2","SMYD3","STEAP1","PTK2","CXCL5","CXCL5","CXCL5","IFNA8","MYCN","PCDH9","C17orf53","IFNA8","KRT36","WASF3"
,"RELL1","PLAGL1","ASPH","ANKRD13C","LEFTY1","AMOT","PRRC2A","HLX","PRIM1","ADORA2B","MS4A7","BPGM","TNFSF12","TP53I3","FLVCR2","KIF20A","NES","FGF18","SCAMP4","EPHX4","MPHOSPH10","NAT8L","COX8A","SOAT1","LRP8","OPTN","PSG7","MADCAM1","TSPAN7","SEMA3E","SLC39A14","CUBN","KANK3","PRSS12","RYR3","OCLN","CKMT2","REST","RRP7B","KCNC3","NRAS","CDKN2AIP",,"ASS1","C7orf74","FNBP1L","DYX1C1","MYOZ1","ISG20","C3orf64","KIAA0907","FABP3","FABP3","FABP3","SNAP25","SYP","TCEAL2","CECR1","SNAP25","FOXH1","STRA6"
,"FAM60A","GAL","ITGB6","VPRBP","SYT4","NR2F6","GP2","BCAR1","TUBG1","PTPN14","IFI35","ZC3H14","MGAT5",,"SASH3","B3GALT2","SMARCAL1","CYP4A22","DTNBP1","CBX2","FUT5","SRMS","CYBA","C6orf97","IGF2BP2","CDC42EP3","USP46","SMR3A","PLCB1","SMPD2","LARS2","CDC45","MKL2","SEPP1","SMPD2","GPX3","C16orf53","ZBTB32","HK2","PAIP2B","TRAF5","TAGLN",,"ATF3","HAVCR2","HIST1H2AG","MIR21","EFNA3","EIF4B","ATP11B","CHMP6","CGA",,"CGA","TNFSF15","LIF","GPR37","AURKC","TNFSF15","ANGPTL4","COL9A3"
,"ELAVL1","ANKRD57","MAOA","C13orf15","SLC29A1","HAB1","EIF5A","FAM180A","MMP3","FLT1","EEF1E1","TWISTNB","LCAT",,,"MRAS","LIPE","SERPINF1",,"LEF1","TOP1MT","LOC642926","NDUFV1","MBP","FADS2","S100P","COLEC11","NMT2","RASL12","ACTL8","GAS2L1","MCTP2","AUP1","SEL1L3","CELSR3","ZDHHC9","SNX8","RPP25","KIF13A","LOC96610","C7orf54","CCDC93",,"FBXO46","IL1A","PRTFDC1","RGS1","GPR44","CLDN5","STX12","SDHB","TAPT1",,"TAPT1","ITGA2","KLK6","SIGLEC15","SLCO5A1","ITGA2","LPPR1","EDAR"
,"INO80E","MGAT4A","BACE2","AFF4","CD80","HOXD10","SPOCK2","YOD1","KRT25","C1orf9","HIVEP3","ABCE1","HTT",,,"ANKRD11","POLD1","CXCL1",,"HRK","TAF5","LYZL4","ACO2","ACOX1","KRT7","ARHGEF3","KRI1","BTBD3","PCBP3","SRPK3","CEBPB","IGKV3D-15","GADD45G","APOB","WT1","TMPRSS2","VPS28","CAPN10","TMEM158","LAG3","ATF3","EPHA4",,"MRPS30","FOXQ1","DUSP8","GPR137B","SPTA1","IFI44L","EML1",,"SLC25A31",,"SLC25A31","DKFZp566H0824","SOX17","GRM5","CLEC4A","DKFZp566H0824","LILRA6","SPRR2B"
,"TINF2","PCDH9","NPC2","CLIP4","IDH2","VTN","RHO","MESDC1","DCTPP1","CLMN","UBE2C","DNAJB9","TLL2",,,"SLC13A3","FOXM1","FPR2",,"HEY1","SLC25A22","PRR3","CNDP2","MAP3K5","PTMS","TFPI2","CXCL10","C10orf10","DUSP3","CCNT1","SLC39A4","LGALS7","DSCAM","PODXL","CCDC164","CA4","DEDD","TNFSF11","GPT","IL18RAP","NEU3","CYTH1",,"EIF3K","PPBP","GPR137C","ARL5B","GRP","AKT3","SNX24",,"KCNK10",,"KCNK10","CDSN","C9orf38","CHGA","LOC157627","CDSN","TWIST1","SLC26A4"
,"MAP3K3","CAPN2","TNFRSF21","MRE11A","RYK","PARM1","SUPT5H","DIS3","ARHGEF1","GPX2","ZNF518B","RGS2","CLIP3",,,"STEAP1B","RNF43","P2RY2",,"TMEM121","TSSC4","PCP4","TMED9","GOLM1","CXCR4","ALAS1","ARHGEF38","LOC643326","PAMR1","CLEC4E","RIMS3","HIST1H2BI","CD47","FOXA2","ADAMTSL4","PODXL","TST","TMPRSS6","CD69","SCN9A","CBX4","KCNN4",,"CSDE1","CFL2","FAM177A1","CDC37L1","SLC25A31","AKR1C3","TPST1",,"RNASE1",,"RNASE1","IL8","CSF2","CA2","FUT5","IL8","RGS13","HOXB2"
,"PRIM2","CYR61","ETV5","ELOVL2","SERPINB9","C3orf32","THY1","SRSF3","HN1","C4orf49","PDK1","TTC37","KIAA0930",,,"TTR","CORO2B","CNGA2",,"TMEM106C","C12orf24","KCNH3","MARS","DUSP4","ABCC4","TNNT1","MYT1","ST13","IL8","MYL3","VEGFA","ZNF185","TSPAN1","C1orf210","CORT","RNF130","BOLA1","MPP6","URB2","GPR176","DKFZP434A062","MAS1",,"KIF2A","BTG2","CD101","THAP1","CLSTN2","LOXL2","SLC37A1",,"SYT1",,"SYT1","GPR4","GSG1","HMP19","PTPRR","GPR4","INSM1","HAS2"
,"SIRPA","SDCBP","ALDOC","TBP","CFDP1","ANPEP","MARK3","CD274","CTPS","SLC6A6","TG","RIPK2","UBA7",,,"EZH2","MAP2","CPS1",,"IL17RB","SLC6A15","HPX","CLOCK","TFPT","CADPS2","VTN","NXF2","EVI5","CD70","DACH1","ARL4A","TTLL3","D4S234E","COL4A2","CHD7","SPOCK2","NKX2-8","RNF144A","KCNE1L","NOS2","SLC39A7","SLCO2A1",,"UQCRC2","YES1","BCL2A1","STX12","DOCK3","ZNF654","VCAN",,"PDE2A",,"PDE2A","MMP9","GPR37L1","NEBL","LDB3","MMP9","LOC651803","CDA"
,"EIF6","IDO1","SCCPDH","SDC3","NAA15","KRT13","SLC6A3","UBE2N","MRAS","HIF3A","KCNE3","TOPORS","CABP1",,,"GALNT14","PELP1","DCC",,"INA","PCOLCE2","MORN3","COPZ1","SLC9A6","AQP3","PHYH","IDO1","SPON1","SLPI","RBM4","GALE","SPIN2A","HES6","KRT7","ABCC6","CD55","PNO1","TRMU","FLT3LG","PCDHB13","PARG","MAFB",,"ATP5A1","SLC12A6","HIST1H2AM","SQSTM1","SDCCAG8","SERPINB1","MMP9",,"NOL4",,"NOL4","KCNC2","KIAA0754","TRIM2","LOC401034","KCNC2","SYT5","RUNX3"
,"RBM22","MALL","SPAG4","KCNJ4","GBP2","KRT19","SLC18A3","TCEB1","CDCA8","PLAGL1","APOOL","PPAT","TP53I11",,,"GNA15","HSD3B1","OXT",,"DSCR6","POLR1E","BRWD1-IT2","IFITM1","ADORA1","AKR1C3","GJA5","FGF12","MYH1","ETV1","PLEKHA5","MGAT4A","AHSP","RPL22","ANKRD1","DOC2A","DKK1","METTL1","HK2","SIGLEC9","ST6GALNAC2","HDAC4","SPSB1",,"DDX50","PANX1","HIST1H3A","KLHL28","FGF7","CDA","PXDN",,"ZNF528",,"ZNF528","NRL","CCL16","TSPAN7","ZNF749","NRL","HKDC1","STC2"
,"EVL","MIR22HG","BCAM","CCDC99","ZFX","ASPH","CTF1","CCDC59","ASB6","IFIT2","TESC","CPA3","TRAF1",,,"PCSK1N","KRT7","RASGRP2",,"NEFL","CHCHD10","MLXIPL","PDIA3","ACTG2","DBNDD2","KHDRBS3","LOC390940","HINFP","BPGM","MTRF1","HERPUD1","PLA2G2F","NAGA","OCLN","NME3","VIL1","CNTN4","LYL1","OR6A2","AGMAT","TET3","MLXIP",,"DTX4","GAN","SAMD8","OLR1","VENTX","KIN","LSM6",,"LOC401034",,"LOC401034","KIF5A","KIF24","ST3GAL6","CD1A","KIF5A","CADPS2","LGALS1"
,"UBR2","ETV5","DNAJC4","SEC62","SMC4","HMBS","CASP3","ST3GAL1","CASP2","S100A14","NKAIN1","UFL1","PART1",,,"ANXA3","APOD","RBPMS",,"CYP26A1","SLC27A2","MRPS34","PA2G4","KMO","SLC6A6","ERVMER34-1","TLE2","DUSP8","NPAS2","CCNK","RIT1","ZNF750","CUBN","SOX17","LPAR4","GPC3","TUFM","IRS1","LRP8","CASC1","SLC20A1","TNFAIP8",,"CPNE1","THBD","SLC12A6","EGR2","LY75","ALDH7A1","DAAM1",,"NPY6R",,"NPY6R","GULP1","ETV2","ANK2","TTC22","GULP1","ABHD8","PHLDA3"
