"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
"SAR1A","ZFPM1","GCNT1","CSGALNACT1","POLA2","ARL5A","PTGIR","APOC4","NOP16","MCM3","AK4","FOXI1","CCPG1","TNNC2","PKP2","ENO2","WNT5B","STAT5A","SEMA5B","KRTAP2-1","SAMD11","SSSCA1","DUOXA2","RUVBL1","ELF5","S100A6","EPAS1","C1orf95","ATXN1","NUPL1","FOLR3","MFAP4","ANKRD53","C14orf37","CTSH","ZMAT5","APLNR","KCNC2","FOSL1","TNFRSF4","C1orf20","MBTPS1","TUBB4A","MYLK","SLC25A5","EGR2","CDKN1A","HMOX1","FKBP6","ASPH","S100A8","FCHO1","NRCAM","NRCAM","NRCAM","TAGLN3","SPINK1","AK5","INHBA","TAGLN3","MMP17","CRIP1"
"PLXNA2","CLN6","A2M","S100A6","KIFC1","FTSJ3","ALOX15","EPHA2","TOP1","GINS2","ANGPTL1","PFKP","CRYZ","CHRNA1","MSX2","C1orf222","PRKCD","CLDN1","NBL1","PALMD","MYB","P2RX5","LOC653605","AARS","C10orf116","UPK2","CAPN6","MYL3","C21orf7","ARL4C","ACTA1","CYTL1","CYP2B7P1","SESN3","PTH1R","SYT8","EOMES","HAUS7","TNFRSF4","IL13","LILRB4","TMEM158","SGK1","TEAD1","WISP2","TWF1","PKIB","BTG2","DLX5","BBS9","SPOCK1","PSRC1","DOCK4","DOCK4","DOCK4","KRT34","ESM1","SORL1","KIF5C","KRT34","MMP11","FOXF2"
"ZBTB16","CASP7","ASPH","HSD17B11","KIF4A","AURKB","MPO","CENPB","SMTN","SERPINB7","CDKN2B","MCM6","SCAF11","SPINK2","FLT4","PPP1R1A","NEFL","PAX1","XCR1","STXBP2","CCNE1","GLRX5","AGPAT3","HSPA5","EPAS1","MEF2C","HPGD","LOC284244","TMEM187","PKIA","SLPI","BHLHE40","CRIP2","ADCK3","CUBN","FOXQ1","CTSH","CARTPT","GADD45B","GADD45B","CPA4","LRPAP1","IRS1","RHOQ","DDX54","TNFSF15","PPP1R17","IL1B","RPL23AP53","TLR2","TUBA1A","APPBP2","SNAP91","SNAP91","SNAP91","ESM1","SCG5","METTL7A","CD247","ESM1","LMO1","TMEM22"
"YBX1","BOK","CYP1B1","EPAS1","TYMS","COX7B","P2RX7","CD52","STC1","HAT1","PLK2","ALDOC","ROR1","OR7E24","ABCB1","GCNT1","FANCF","GNA14","MAZ","RPS6KA1","RRAGD","SLC25A26","TOX3","CEBPG","CHST11","EPAS1","ANKRD6","CCNT1","N4BP2L2","COL13A1","NGB","CLIC4","NPC1L1","CRELD1","NRK","ARHGAP27","APOM","PFDN2","IL13","FOSL1","PTH1R","GNG11","TFEB","FLOT1","LETMD1","RIN2","BTG2","THBD","CSN2","PRG1","RAD51AP1","OXSR1","STC1","STC1","STC1","PDE2A","CLSTN2","ATP1A2","CELA2B","PDE2A","CD79A","DHRS2"
"SGTA","PITPNM1","CMAHP","EGLN3","DNAJC3","RRM2","PPIP5K1","AXIN1","FRMD6","MZT1","IL8","AK4","ITGA2","CORO2B","AIM1","PLEKHF1","MAS1","CST5","COL4A4","BMP4","ZNF483","ECE2","ATP6V1E1","RCHY1","RFTN1","CEACAM6","MYCL1","CACNA2D3","AKR1B10","TSPAN13","SLC15A3","BCAT1","SLC28A1","MEP1B","RBP4","SPOCK2","FOXQ1","ZNF576","CDC25A","VDR","TLR6","PFKFB3","FGB","C8orf58","HADHB","ZFP36L1","ITGB8","MAFB","NPBWR2","PRSS3","IGSF3","FSD1","FAM155B","FAM155B","FAM155B","IL37","TAGLN3","NEFL","RBP4","IL37","TLR4","PRF1"
"CSGALNACT1","EFNB2","TNFAIP8","IL1R1","FBXO45","MCM6","TGM4","SLC19A1","ITPRIPL2","MT1B","SFTPD","BST2","ANGPT2","MYO1A","SLC39A14","CHODL","CD8A","MAS1","PLAC9","CALR","CEBPA","TGFBRAP1","CEACAM19","SPOP","MAOA","ALDH3A1","PYGL","DKFZP434C153","NUPL1","KIAA0319L","C1orf21","IL21R","MCF2L","FAM134B","HS3ST1","WDFY3","COL2A1","IDH1","SOCS2","SOCS2","C19orf28","ORC2","HYAL1","SNAP23","CCT4","DOCK4","GNG11","TFPI","FCER1A","ELK3","PNP","MYCBP","DYNC1I1","DYNC1I1","DYNC1I1","SMPX","IL1RAPL1","PEG3","G0S2","SMPX","CR2","TGM2"
"WEE1","CAPRIN2","CSGALNACT1","SLC2A10","TOP2B","CDC25C","CDC42EP2","MUC5AC","FZD8","TRNP1","SPHK1","PCYT2","ATR","RELB","DEFA5","RUNX1","TRPC4","LAS1L","HPS4","SLC27A2","C6orf168","UTP14A","LINC00112","XIST","TNNT1","FGFR3","NFE2L3","XPNPEP2","SLC6A15","DNAJC12","ERMAP","ANXA3","CATSPERB","CIDEB","APOA2","FGF19","MOGAT2","AHSA1","RGS3","RGS3","GRIA4","SIK1","CCDC82","DLX5","CTSH","NRP1","PID1","CFL2","MAGEA6","GFPT2","CIB1","LBR","ST3GAL6","ST3GAL6","ST3GAL6","RBP4","CDSN","CDK5R1","GBA3","RBP4","PDK4","C10orf116"
"TRIM23","MTSS1L","KIAA1199","KRT81","KRT26","PIK3CA","TIMP2","RRAS","EHD4","S1PR1","TMPRSS4","GPX2","SAT1","DUSP8","BAMBI","FUT1","CD24","ABLIM3","TFF3","B4GALT1","TM6SF1","DGAT2","C9orf37","GMPPA","EHF","S100P","GPR37","CLCA1","HIST1H1C","IL6R","CNPY4","SEC24D","LPAR3","NR1D1","MOGAT2","ENPP2","SOX17","ZBED2","VDR","CDC25A","FA2H","FOSL1","FAT4","RPN2","ST13","PID1","TFEC","SGK1","HSPA1L","COL6A3","LANCL1","ZMIZ1","CDR1","CDR1","CDR1","HSD17B2","HSD17B2","ANK3","OGDHL","HSD17B2","FGF22","TRIM48"
"POFUT2","KLHL21","LPAR6","SGPP1","ATF1","TMOD3","GRK1","DMWD","TXNDC12","VEGFC","PARM1","RRM2","C19orf6","IL32","PLEKHB2","PTRF","FSD1","PTPRT","PPP1R3C","HMGB1","UBE2QL1","PIGW","C1orf222","SLC22A17","MGAT4A","CLMN","SERPINI1","PRND","GALNT3","ITGA2","VILL","OPN3","CORT","ASCL2","SPP2","FGF5","VEGFB","SNTB1","FLT3LG","C19orf28","NUDT11","DNAJA2","RRAD","C9orf95","MPV17","STC1","HIST1H2BG","FOS","GABRR1","GNG11","CDK8","TM9SF2","SNAP25","SNAP25","SNAP25","ZP4","DNAJA4","PLSCR4","LRIG1","ZP4","GLB1L2","DCLK1"
"C16orf45","TLE4","GLRX","VTCN1","MYT1L","SGOL1","CDH4","SLN","DDX21","CRISPLD2","ATF3","FGFBP1","AKAP9","HTR2A","NPTX1","ENC1","CEP41","C2CD2L","AP2S1","CTSD","KISS1R","TECTB","NYX","IL8","SDCBP","ASPH","GRAMD3","PELI1","PLSCR4","KLF4","SETBP1","SLC3A2","COLQ","ST5","SLC39A8","MBD4","P4HA1","MTX2","PTCH1","CISH","MVD","WDR46","PDGFA","PRKACG","ALDH7A1","GDF15","SGK1","GJA1","CCDC57","VEGFC","FAT2","EDN1","ANGPTL4","ANGPTL4","ANGPTL4","SPINK1","KCNK15","ITGBL1","FBXO4","SPINK1","ZSWIM1","L1CAM"
"IFT74","LOC202152","EPAS1","FGF13","UQCC","SRSF1","SLC25A42","ID1","LRRC8A","PSMD2","ALDOC","SPRR1A","NEK1","EMILIN1","ASRGL1","GADD45G","NNAT","FABP4","FOS","KLHL15","ZNF367","CCDC78","LOC100288594","PLCH1","EDN1","PTGER4","GLRX","IRF8","PKD2L1","C3orf52","PMEPA1","SAR1B","KLHL3","PRSS12","GLIPR1","KLC2","CMTM8","C4orf37","SLC7A5","SLAMF1","ZNF345","HSPA2","LEMD3","C13orf15","TRAF3IP2","C15orf48","CREB5","CDKN1A","VTN","ZMYND8","RNF103","CDK4","ETV1","ETV1","ETV1","IL1R2","HSD11B1","PELI2","TSPAN1","IL1R2","ITGA2","TUBB2B"
"PRKD3","NUP43","MMP1","ATP6V0A4","PDS5B","SRSF10","FOXJ1","KLK6","ZBTB2","MT1X","CD55","PAFAH2","SULF1","PLA2G4C","PRG3","RBP1","IL32","KRT81","MC1R","ICAM5","TMEM158","AGPAT3","COL4A4","SEC13","PGM1","DUSP4","XYLT1","HSPB7","MAPK8IP3","IL1RL1","MTMR10","IFRD1","CD82","DIDO1","SPINK1","KIF21A","NRK","SNRNP25","AIM2","RGS16","NDRG4","CDK5R2","PKIA","GLTSCR1","PDHA1","CXCL2","TP53INP1","TFEC","PIWIL1","NRP1","IL1A","DUSP3","NTM","NTM","NTM","DHRS9","KIF5A","LMO3","HPN","DHRS9","FSD1","G0S2"
